# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=4.019633e-06.
#    ell           C_l_a           C_l_x
    49.5     5.58401e-05     8.98604e-07
    99.5     2.70783e-05     3.54748e-07
   149.5     1.77278e-05     2.50978e-07
   199.5     1.34107e-05     2.04634e-07
   249.5     1.13778e-05     1.29902e-07
   299.5     9.37416e-06     1.11363e-07
   349.5     8.68727e-06     1.00253e-07
   399.5     7.88998e-06     7.23903e-08
   449.5     7.60034e-06     5.13317e-08
   499.5     7.18551e-06     6.46891e-08
   549.5     6.80843e-06     7.40369e-08
   599.5     6.55316e-06     2.64303e-08
   649.5     6.37523e-06     4.72218e-08
   699.5     6.25325e-06     2.00430e-08
   749.5     5.98912e-06     3.92355e-08
   799.5     6.01319e-06     4.02822e-08
   849.5     5.83467e-06     3.60600e-08
   899.5     5.78409e-06     1.34825e-08
   949.5     5.68187e-06     3.42049e-08
   999.5     5.59000e-06     1.89209e-08
