# Galaxy-galaxy cross-spectrum.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_x.
#    ell           C_l_x
    49.5     1.55959e-06
    99.5     5.79709e-07
   149.5     2.73674e-07
   199.5     2.17856e-07
   249.5     3.08017e-07
   299.5     1.30910e-07
   349.5     1.30100e-07
   399.5     1.07813e-07
   449.5     5.59358e-08
   499.5     1.12010e-07
   549.5     1.10720e-07
   599.5     6.57041e-08
   649.5     6.34089e-08
   699.5     9.74157e-08
   749.5     7.27164e-08
   799.5     3.78860e-08
   849.5     4.73552e-08
   899.5     4.29485e-08
   949.5     3.95058e-08
   999.5     4.49515e-08
