# Best fit model.
# chi^2=2.110000e+01.
# z_eff=0.912477.
# Parameters:   1.3924e+00   1.0245e+00  -1.1449e-01  -2.7454e+00   5.2156e+00   1.0115e+00
#         ell        C_l_a        C_l_x
   1.2300e+02   1.2123e-05   3.6619e-07
   1.2400e+02   1.2072e-05   3.6409e-07
   1.2500e+02   1.2023e-05   3.6203e-07
   1.2600e+02   1.1974e-05   3.6000e-07
   1.2700e+02   1.1926e-05   3.5799e-07
   1.2800e+02   1.1879e-05   3.5600e-07
   1.2900e+02   1.1831e-05   3.5403e-07
   1.3000e+02   1.1785e-05   3.5208e-07
   1.3100e+02   1.1738e-05   3.5015e-07
   1.3200e+02   1.1692e-05   3.4822e-07
   1.3300e+02   1.1646e-05   3.4630e-07
   1.3400e+02   1.1599e-05   3.4440e-07
   1.3500e+02   1.1553e-05   3.4249e-07
   1.3600e+02   1.1507e-05   3.4058e-07
   1.3700e+02   1.1460e-05   3.3868e-07
   1.3800e+02   1.1413e-05   3.3677e-07
   1.3900e+02   1.1366e-05   3.3485e-07
   1.4000e+02   1.1318e-05   3.3293e-07
   1.4100e+02   1.1270e-05   3.3101e-07
   1.4200e+02   1.1222e-05   3.2908e-07
   1.4300e+02   1.1173e-05   3.2714e-07
   1.4400e+02   1.1124e-05   3.2519e-07
   1.4500e+02   1.1074e-05   3.2323e-07
   1.4600e+02   1.1024e-05   3.2126e-07
   1.4700e+02   1.0973e-05   3.1928e-07
   1.4800e+02   1.0922e-05   3.1728e-07
   1.4900e+02   1.0871e-05   3.1527e-07
   1.5000e+02   1.0819e-05   3.1325e-07
   1.5100e+02   1.0766e-05   3.1122e-07
   1.5200e+02   1.0713e-05   3.0917e-07
   1.5300e+02   1.0659e-05   3.0711e-07
   1.5400e+02   1.0605e-05   3.0504e-07
   1.5500e+02   1.0551e-05   3.0296e-07
   1.5600e+02   1.0496e-05   3.0086e-07
   1.5700e+02   1.0440e-05   2.9876e-07
   1.5800e+02   1.0384e-05   2.9664e-07
   1.5900e+02   1.0328e-05   2.9451e-07
   1.6000e+02   1.0271e-05   2.9237e-07
   1.6100e+02   1.0214e-05   2.9022e-07
   1.6200e+02   1.0157e-05   2.8807e-07
   1.6300e+02   1.0099e-05   2.8590e-07
   1.6400e+02   1.0041e-05   2.8373e-07
   1.6500e+02   9.9822e-06   2.8156e-07
   1.6600e+02   9.9235e-06   2.7938e-07
   1.6700e+02   9.8647e-06   2.7719e-07
   1.6800e+02   9.8058e-06   2.7501e-07
   1.6900e+02   9.7467e-06   2.7282e-07
   1.7000e+02   9.6875e-06   2.7063e-07
   1.7100e+02   9.6283e-06   2.6845e-07
   1.7200e+02   9.5690e-06   2.6626e-07
   1.7300e+02   9.5098e-06   2.6408e-07
   1.7400e+02   9.4507e-06   2.6190e-07
   1.7500e+02   9.3916e-06   2.5973e-07
   1.7600e+02   9.3326e-06   2.5757e-07
   1.7700e+02   9.2739e-06   2.5541e-07
   1.7800e+02   9.2153e-06   2.5326e-07
   1.7900e+02   9.1570e-06   2.5112e-07
   1.8000e+02   9.0990e-06   2.4899e-07
   1.8100e+02   9.0413e-06   2.4687e-07
   1.8200e+02   8.9839e-06   2.4477e-07
   1.8300e+02   8.9270e-06   2.4268e-07
   1.8400e+02   8.8705e-06   2.4060e-07
   1.8500e+02   8.8145e-06   2.3854e-07
   1.8600e+02   8.7589e-06   2.3650e-07
   1.8700e+02   8.7039e-06   2.3448e-07
   1.8800e+02   8.6494e-06   2.3248e-07
   1.8900e+02   8.5954e-06   2.3049e-07
   1.9000e+02   8.5420e-06   2.2853e-07
   1.9100e+02   8.4892e-06   2.2658e-07
   1.9200e+02   8.4370e-06   2.2466e-07
   1.9300e+02   8.3854e-06   2.2275e-07
   1.9400e+02   8.3344e-06   2.2087e-07
   1.9500e+02   8.2840e-06   2.1902e-07
   1.9600e+02   8.2344e-06   2.1718e-07
   1.9700e+02   8.1854e-06   2.1538e-07
   1.9800e+02   8.1371e-06   2.1359e-07
   1.9900e+02   8.0896e-06   2.1184e-07
   2.0000e+02   8.0427e-06   2.1011e-07
   2.0100e+02   7.9966e-06   2.0840e-07
   2.0200e+02   7.9513e-06   2.0672e-07
   2.0300e+02   7.9067e-06   2.0507e-07
   2.0400e+02   7.8628e-06   2.0345e-07
   2.0500e+02   7.8197e-06   2.0185e-07
   2.0600e+02   7.7773e-06   2.0028e-07
   2.0700e+02   7.7358e-06   1.9873e-07
   2.0800e+02   7.6950e-06   1.9722e-07
   2.0900e+02   7.6549e-06   1.9573e-07
   2.1000e+02   7.6157e-06   1.9427e-07
   2.1100e+02   7.5772e-06   1.9283e-07
   2.1200e+02   7.5395e-06   1.9143e-07
   2.1300e+02   7.5026e-06   1.9005e-07
   2.1400e+02   7.4665e-06   1.8870e-07
   2.1500e+02   7.4313e-06   1.8737e-07
   2.1600e+02   7.3968e-06   1.8608e-07
   2.1700e+02   7.3631e-06   1.8481e-07
   2.1800e+02   7.3302e-06   1.8357e-07
   2.1900e+02   7.2981e-06   1.8235e-07
   2.2000e+02   7.2667e-06   1.8117e-07
   2.2100e+02   7.2361e-06   1.8000e-07
   2.2200e+02   7.2063e-06   1.7887e-07
   2.2300e+02   7.1772e-06   1.7776e-07
   2.2400e+02   7.1488e-06   1.7667e-07
   2.2500e+02   7.1212e-06   1.7560e-07
   2.2600e+02   7.0943e-06   1.7456e-07
   2.2700e+02   7.0680e-06   1.7355e-07
   2.2800e+02   7.0425e-06   1.7255e-07
   2.2900e+02   7.0177e-06   1.7158e-07
   2.3000e+02   6.9935e-06   1.7063e-07
   2.3100e+02   6.9701e-06   1.6970e-07
   2.3200e+02   6.9473e-06   1.6880e-07
   2.3300e+02   6.9251e-06   1.6791e-07
   2.3400e+02   6.9035e-06   1.6704e-07
   2.3500e+02   6.8826e-06   1.6620e-07
   2.3600e+02   6.8622e-06   1.6537e-07
   2.3700e+02   6.8424e-06   1.6456e-07
   2.3800e+02   6.8231e-06   1.6376e-07
   2.3900e+02   6.8043e-06   1.6298e-07
   2.4000e+02   6.7859e-06   1.6222e-07
   2.4100e+02   6.7680e-06   1.6147e-07
   2.4200e+02   6.7505e-06   1.6074e-07
   2.4300e+02   6.7333e-06   1.6002e-07
   2.4400e+02   6.7166e-06   1.5931e-07
   2.4500e+02   6.7001e-06   1.5862e-07
   2.4600e+02   6.6840e-06   1.5794e-07
   2.4700e+02   6.6682e-06   1.5726e-07
   2.4800e+02   6.6526e-06   1.5660e-07
   2.4900e+02   6.6372e-06   1.5595e-07
   2.5000e+02   6.6220e-06   1.5530e-07
   2.5100e+02   6.6070e-06   1.5466e-07
   2.5200e+02   6.5922e-06   1.5403e-07
   2.5300e+02   6.5775e-06   1.5341e-07
   2.5400e+02   6.5629e-06   1.5279e-07
   2.5500e+02   6.5484e-06   1.5218e-07
   2.5600e+02   6.5340e-06   1.5158e-07
   2.5700e+02   6.5198e-06   1.5098e-07
   2.5800e+02   6.5055e-06   1.5038e-07
   2.5900e+02   6.4914e-06   1.4979e-07
   2.6000e+02   6.4772e-06   1.4920e-07
   2.6100e+02   6.4631e-06   1.4862e-07
   2.6200e+02   6.4490e-06   1.4803e-07
   2.6300e+02   6.4349e-06   1.4745e-07
   2.6400e+02   6.4208e-06   1.4687e-07
   2.6500e+02   6.4066e-06   1.4629e-07
   2.6600e+02   6.3924e-06   1.4572e-07
   2.6700e+02   6.3782e-06   1.4514e-07
   2.6800e+02   6.3638e-06   1.4456e-07
   2.6900e+02   6.3493e-06   1.4398e-07
   2.7000e+02   6.3348e-06   1.4340e-07
   2.7100e+02   6.3201e-06   1.4282e-07
   2.7200e+02   6.3053e-06   1.4224e-07
   2.7300e+02   6.2904e-06   1.4165e-07
   2.7400e+02   6.2753e-06   1.4107e-07
   2.7500e+02   6.2601e-06   1.4048e-07
   2.7600e+02   6.2448e-06   1.3989e-07
   2.7700e+02   6.2294e-06   1.3930e-07
   2.7800e+02   6.2139e-06   1.3870e-07
   2.7900e+02   6.1982e-06   1.3811e-07
   2.8000e+02   6.1824e-06   1.3751e-07
   2.8100e+02   6.1665e-06   1.3691e-07
   2.8200e+02   6.1505e-06   1.3631e-07
   2.8300e+02   6.1344e-06   1.3570e-07
   2.8400e+02   6.1182e-06   1.3510e-07
   2.8500e+02   6.1018e-06   1.3449e-07
   2.8600e+02   6.0854e-06   1.3388e-07
   2.8700e+02   6.0688e-06   1.3327e-07
   2.8800e+02   6.0521e-06   1.3266e-07
   2.8900e+02   6.0353e-06   1.3204e-07
   2.9000e+02   6.0184e-06   1.3142e-07
   2.9100e+02   6.0014e-06   1.3080e-07
   2.9200e+02   5.9843e-06   1.3018e-07
   2.9300e+02   5.9671e-06   1.2956e-07
   2.9400e+02   5.9497e-06   1.2893e-07
   2.9500e+02   5.9323e-06   1.2831e-07
   2.9600e+02   5.9149e-06   1.2768e-07
   2.9700e+02   5.8973e-06   1.2705e-07
   2.9800e+02   5.8797e-06   1.2642e-07
   2.9900e+02   5.8621e-06   1.2579e-07
   3.0000e+02   5.8444e-06   1.2516e-07
   3.0100e+02   5.8267e-06   1.2453e-07
   3.0200e+02   5.8089e-06   1.2390e-07
   3.0300e+02   5.7911e-06   1.2327e-07
   3.0400e+02   5.7734e-06   1.2264e-07
   3.0500e+02   5.7556e-06   1.2201e-07
   3.0600e+02   5.7378e-06   1.2138e-07
   3.0700e+02   5.7201e-06   1.2075e-07
   3.0800e+02   5.7024e-06   1.2012e-07
   3.0900e+02   5.6847e-06   1.1950e-07
   3.1000e+02   5.6671e-06   1.1888e-07
   3.1100e+02   5.6495e-06   1.1826e-07
   3.1200e+02   5.6320e-06   1.1764e-07
   3.1300e+02   5.6146e-06   1.1702e-07
   3.1400e+02   5.5972e-06   1.1641e-07
   3.1500e+02   5.5800e-06   1.1580e-07
   3.1600e+02   5.5628e-06   1.1519e-07
   3.1700e+02   5.5457e-06   1.1459e-07
   3.1800e+02   5.5288e-06   1.1398e-07
   3.1900e+02   5.5119e-06   1.1339e-07
   3.2000e+02   5.4952e-06   1.1279e-07
   3.2100e+02   5.4786e-06   1.1220e-07
   3.2200e+02   5.4621e-06   1.1162e-07
   3.2300e+02   5.4458e-06   1.1104e-07
   3.2400e+02   5.4296e-06   1.1046e-07
   3.2500e+02   5.4135e-06   1.0989e-07
   3.2600e+02   5.3976e-06   1.0932e-07
   3.2700e+02   5.3818e-06   1.0875e-07
   3.2800e+02   5.3662e-06   1.0819e-07
   3.2900e+02   5.3507e-06   1.0764e-07
   3.3000e+02   5.3354e-06   1.0709e-07
   3.3100e+02   5.3203e-06   1.0654e-07
   3.3200e+02   5.3053e-06   1.0600e-07
   3.3300e+02   5.2906e-06   1.0547e-07
   3.3400e+02   5.2760e-06   1.0494e-07
   3.3500e+02   5.2616e-06   1.0442e-07
   3.3600e+02   5.2474e-06   1.0390e-07
   3.3700e+02   5.2334e-06   1.0339e-07
   3.3800e+02   5.2196e-06   1.0288e-07
   3.3900e+02   5.2060e-06   1.0238e-07
   3.4000e+02   5.1926e-06   1.0189e-07
   3.4100e+02   5.1794e-06   1.0140e-07
   3.4200e+02   5.1665e-06   1.0092e-07
   3.4300e+02   5.1537e-06   1.0045e-07
   3.4400e+02   5.1412e-06   9.9980e-08
   3.4500e+02   5.1288e-06   9.9518e-08
   3.4600e+02   5.1167e-06   9.9063e-08
   3.4700e+02   5.1048e-06   9.8613e-08
   3.4800e+02   5.0930e-06   9.8169e-08
   3.4900e+02   5.0815e-06   9.7731e-08
   3.5000e+02   5.0702e-06   9.7298e-08
   3.5100e+02   5.0590e-06   9.6872e-08
   3.5200e+02   5.0480e-06   9.6451e-08
   3.5300e+02   5.0372e-06   9.6036e-08
   3.5400e+02   5.0266e-06   9.5626e-08
   3.5500e+02   5.0162e-06   9.5222e-08
   3.5600e+02   5.0059e-06   9.4823e-08
   3.5700e+02   4.9959e-06   9.4430e-08
   3.5800e+02   4.9860e-06   9.4041e-08
   3.5900e+02   4.9762e-06   9.3659e-08
   3.6000e+02   4.9666e-06   9.3281e-08
   3.6100e+02   4.9572e-06   9.2908e-08
   3.6200e+02   4.9479e-06   9.2540e-08
   3.6300e+02   4.9388e-06   9.2178e-08
   3.6400e+02   4.9299e-06   9.1820e-08
   3.6500e+02   4.9211e-06   9.1467e-08
   3.6600e+02   4.9124e-06   9.1118e-08
   3.6700e+02   4.9039e-06   9.0775e-08
   3.6800e+02   4.8956e-06   9.0436e-08
   3.6900e+02   4.8873e-06   9.0102e-08
   3.7000e+02   4.8792e-06   8.9772e-08
   3.7100e+02   4.8713e-06   8.9446e-08
   3.7200e+02   4.8634e-06   8.9124e-08
   3.7300e+02   4.8557e-06   8.8807e-08
   3.7400e+02   4.8481e-06   8.8493e-08
   3.7500e+02   4.8406e-06   8.8183e-08
   3.7600e+02   4.8332e-06   8.7877e-08
   3.7700e+02   4.8259e-06   8.7574e-08
   3.7800e+02   4.8187e-06   8.7275e-08
   3.7900e+02   4.8116e-06   8.6979e-08
   3.8000e+02   4.8045e-06   8.6686e-08
   3.8100e+02   4.7976e-06   8.6397e-08
   3.8200e+02   4.7907e-06   8.6110e-08
   3.8300e+02   4.7839e-06   8.5826e-08
   3.8400e+02   4.7772e-06   8.5545e-08
   3.8500e+02   4.7705e-06   8.5266e-08
   3.8600e+02   4.7639e-06   8.4990e-08
   3.8700e+02   4.7574e-06   8.4716e-08
   3.8800e+02   4.7509e-06   8.4444e-08
   3.8900e+02   4.7444e-06   8.4175e-08
   3.9000e+02   4.7380e-06   8.3907e-08
   3.9100e+02   4.7316e-06   8.3642e-08
   3.9200e+02   4.7252e-06   8.3378e-08
   3.9300e+02   4.7189e-06   8.3115e-08
   3.9400e+02   4.7126e-06   8.2854e-08
   3.9500e+02   4.7063e-06   8.2595e-08
   3.9600e+02   4.7000e-06   8.2336e-08
   3.9700e+02   4.6937e-06   8.2079e-08
   3.9800e+02   4.6874e-06   8.1823e-08
   3.9900e+02   4.6812e-06   8.1568e-08
   4.0000e+02   4.6749e-06   8.1314e-08
   4.0100e+02   4.6687e-06   8.1061e-08
   4.0200e+02   4.6624e-06   8.0809e-08
   4.0300e+02   4.6561e-06   8.0557e-08
   4.0400e+02   4.6499e-06   8.0307e-08
   4.0500e+02   4.6436e-06   8.0058e-08
   4.0600e+02   4.6374e-06   7.9809e-08
   4.0700e+02   4.6311e-06   7.9561e-08
   4.0800e+02   4.6249e-06   7.9314e-08
   4.0900e+02   4.6186e-06   7.9068e-08
   4.1000e+02   4.6123e-06   7.8823e-08
   4.1100e+02   4.6061e-06   7.8578e-08
   4.1200e+02   4.5998e-06   7.8334e-08
   4.1300e+02   4.5935e-06   7.8091e-08
   4.1400e+02   4.5873e-06   7.7848e-08
   4.1500e+02   4.5810e-06   7.7606e-08
   4.1600e+02   4.5747e-06   7.7364e-08
   4.1700e+02   4.5684e-06   7.7123e-08
   4.1800e+02   4.5621e-06   7.6883e-08
   4.1900e+02   4.5558e-06   7.6643e-08
   4.2000e+02   4.5495e-06   7.6403e-08
   4.2100e+02   4.5432e-06   7.6164e-08
   4.2200e+02   4.5369e-06   7.5925e-08
   4.2300e+02   4.5305e-06   7.5687e-08
   4.2400e+02   4.5242e-06   7.5449e-08
   4.2500e+02   4.5178e-06   7.5211e-08
   4.2600e+02   4.5114e-06   7.4974e-08
   4.2700e+02   4.5051e-06   7.4737e-08
   4.2800e+02   4.4987e-06   7.4500e-08
   4.2900e+02   4.4923e-06   7.4263e-08
   4.3000e+02   4.4858e-06   7.4026e-08
   4.3100e+02   4.4794e-06   7.3790e-08
   4.3200e+02   4.4730e-06   7.3554e-08
   4.3300e+02   4.4665e-06   7.3319e-08
   4.3400e+02   4.4601e-06   7.3084e-08
   4.3500e+02   4.4536e-06   7.2849e-08
   4.3600e+02   4.4472e-06   7.2615e-08
   4.3700e+02   4.4408e-06   7.2381e-08
   4.3800e+02   4.4343e-06   7.2148e-08
   4.3900e+02   4.4279e-06   7.1915e-08
   4.4000e+02   4.4214e-06   7.1682e-08
   4.4100e+02   4.4150e-06   7.1451e-08
   4.4200e+02   4.4086e-06   7.1220e-08
   4.4300e+02   4.4022e-06   7.0989e-08
   4.4400e+02   4.3958e-06   7.0759e-08
   4.4500e+02   4.3894e-06   7.0530e-08
   4.4600e+02   4.3831e-06   7.0302e-08
   4.4700e+02   4.3767e-06   7.0074e-08
   4.4800e+02   4.3704e-06   6.9847e-08
   4.4900e+02   4.3641e-06   6.9621e-08
   4.5000e+02   4.3578e-06   6.9396e-08
   4.5100e+02   4.3516e-06   6.9172e-08
   4.5200e+02   4.3454e-06   6.8948e-08
   4.5300e+02   4.3392e-06   6.8726e-08
   4.5400e+02   4.3330e-06   6.8504e-08
   4.5500e+02   4.3269e-06   6.8284e-08
   4.5600e+02   4.3208e-06   6.8064e-08
   4.5700e+02   4.3147e-06   6.7846e-08
   4.5800e+02   4.3087e-06   6.7628e-08
   4.5900e+02   4.3027e-06   6.7412e-08
   4.6000e+02   4.2967e-06   6.7197e-08
   4.6100e+02   4.2908e-06   6.6983e-08
   4.6200e+02   4.2849e-06   6.6770e-08
   4.6300e+02   4.2791e-06   6.6559e-08
   4.6400e+02   4.2734e-06   6.6349e-08
   4.6500e+02   4.2676e-06   6.6140e-08
   4.6600e+02   4.2619e-06   6.5932e-08
   4.6700e+02   4.2563e-06   6.5725e-08
   4.6800e+02   4.2507e-06   6.5520e-08
   4.6900e+02   4.2452e-06   6.5316e-08
   4.7000e+02   4.2396e-06   6.5113e-08
   4.7100e+02   4.2342e-06   6.4911e-08
   4.7200e+02   4.2288e-06   6.4711e-08
   4.7300e+02   4.2234e-06   6.4512e-08
   4.7400e+02   4.2181e-06   6.4314e-08
   4.7500e+02   4.2128e-06   6.4117e-08
   4.7600e+02   4.2076e-06   6.3922e-08
   4.7700e+02   4.2024e-06   6.3728e-08
   4.7800e+02   4.1972e-06   6.3535e-08
   4.7900e+02   4.1921e-06   6.3343e-08
   4.8000e+02   4.1870e-06   6.3153e-08
   4.8100e+02   4.1820e-06   6.2964e-08
   4.8200e+02   4.1771e-06   6.2776e-08
   4.8300e+02   4.1721e-06   6.2589e-08
   4.8400e+02   4.1672e-06   6.2404e-08
   4.8500e+02   4.1624e-06   6.2220e-08
   4.8600e+02   4.1576e-06   6.2037e-08
   4.8700e+02   4.1528e-06   6.1856e-08
   4.8800e+02   4.1481e-06   6.1676e-08
   4.8900e+02   4.1435e-06   6.1497e-08
   4.9000e+02   4.1388e-06   6.1319e-08
   4.9100e+02   4.1343e-06   6.1143e-08
   4.9200e+02   4.1297e-06   6.0968e-08
   4.9300e+02   4.1252e-06   6.0794e-08
   4.9400e+02   4.1208e-06   6.0621e-08
   4.9500e+02   4.1164e-06   6.0450e-08
   4.9600e+02   4.1120e-06   6.0280e-08
   4.9700e+02   4.1077e-06   6.0111e-08
   4.9800e+02   4.1034e-06   5.9944e-08
   4.9900e+02   4.0992e-06   5.9778e-08
   5.0000e+02   4.0950e-06   5.9613e-08
   5.0100e+02   4.0908e-06   5.9450e-08
   5.0200e+02   4.0867e-06   5.9287e-08
   5.0300e+02   4.0827e-06   5.9126e-08
   5.0400e+02   4.0786e-06   5.8967e-08
   5.0500e+02   4.0747e-06   5.8808e-08
   5.0600e+02   4.0707e-06   5.8651e-08
   5.0700e+02   4.0668e-06   5.8494e-08
   5.0800e+02   4.0629e-06   5.8339e-08
   5.0900e+02   4.0590e-06   5.8185e-08
   5.1000e+02   4.0552e-06   5.8032e-08
   5.1100e+02   4.0515e-06   5.7880e-08
   5.1200e+02   4.0477e-06   5.7730e-08
   5.1300e+02   4.0440e-06   5.7580e-08
   5.1400e+02   4.0403e-06   5.7431e-08
   5.1500e+02   4.0366e-06   5.7284e-08
   5.1600e+02   4.0330e-06   5.7137e-08
   5.1700e+02   4.0294e-06   5.6991e-08
   5.1800e+02   4.0258e-06   5.6847e-08
   5.1900e+02   4.0223e-06   5.6703e-08
