# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=2.263650e-06.
#    ell           C_l_a           C_l_x
    49.5     2.41708e-05     7.45079e-07
    99.5     1.39520e-05     4.32622e-07
   149.5     1.09355e-05     3.30923e-07
   199.5     8.04765e-06     2.04559e-07
   249.5     6.70604e-06     1.68709e-07
   299.5     5.75775e-06     1.12821e-07
   349.5     5.03487e-06     6.54527e-08
   399.5     4.70047e-06     8.04083e-08
   449.5     4.39191e-06     7.42269e-08
   499.5     4.13863e-06     6.73022e-08
   549.5     3.97720e-06     5.64751e-08
   599.5     3.71364e-06     6.00387e-08
   649.5     3.61053e-06     5.04848e-08
   699.5     3.49774e-06     4.07374e-08
   749.5     3.42182e-06     3.35517e-08
   799.5     3.33924e-06     3.19980e-08
   849.5     3.30132e-06     6.12597e-09
   899.5     3.20218e-06     4.28777e-08
   949.5     3.18183e-06     3.10220e-08
   999.5     3.15697e-06     4.18412e-08
