# Galaxy-galaxy cross-spectrum.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_x.
#    ell           C_l_x
    49.5     1.16018e-06
    99.5    -2.62849e-07
   149.5     1.61816e-07
   199.5     1.54832e-07
   249.5     3.74024e-07
   299.5     5.91460e-08
   349.5     4.97983e-09
   399.5     8.61210e-08
   449.5     1.14639e-07
   499.5     8.22079e-08
   549.5     1.12851e-07
   599.5     9.81369e-08
   649.5     3.62920e-08
   699.5     5.21196e-08
   749.5     1.82331e-08
   799.5     7.84047e-08
   849.5     5.88561e-08
   899.5     8.74476e-08
   949.5     5.49234e-08
   999.5     8.63994e-08
