# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=2.069106e-06.
#    ell           C_l_a           C_l_x
    49.5     3.21433e-05     8.94466e-07
    99.5     1.84180e-05     4.17348e-07
   149.5     1.35480e-05     3.14091e-07
   199.5     9.54041e-06     2.20326e-07
   249.5     7.95511e-06     1.72935e-07
   299.5     6.56021e-06     1.15333e-07
   349.5     5.97158e-06     1.04664e-07
   399.5     5.24780e-06     6.86755e-08
   449.5     4.78120e-06     4.60511e-08
   499.5     4.56924e-06     5.93665e-08
   549.5     4.20019e-06     5.92466e-08
   599.5     4.05706e-06     6.86701e-08
   649.5     3.87135e-06     6.12365e-08
   699.5     3.72637e-06     4.06540e-08
   749.5     3.64217e-06     2.15172e-08
   799.5     3.48827e-06     2.30824e-08
   849.5     3.41176e-06     1.33965e-08
   899.5     3.35098e-06     2.45769e-08
   949.5     3.31087e-06     5.26475e-08
   999.5     3.22817e-06     3.28608e-08
