# Galaxy-galaxy cross-spectrum.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_x.
#    ell           C_l_x
    49.5     4.00686e-07
    99.5    -1.31403e-08
   149.5     4.79864e-07
   199.5     2.81006e-07
   249.5     2.22492e-07
   299.5     5.70478e-08
   349.5     2.04911e-08
   399.5     1.02543e-07
   449.5     1.25333e-07
   499.5     1.76574e-07
   549.5     5.97228e-08
   599.5     1.16519e-07
   649.5     8.81455e-08
   699.5     4.37737e-08
   749.5     4.02753e-08
   799.5     2.78133e-08
   849.5     6.28777e-08
   899.5     6.21388e-08
   949.5     4.79649e-08
   999.5     3.51042e-08
