# Best fit model.
# chi^2=2.710200e+01.
# z_eff=0.470567.
# Parameters:   8.8106e-01   8.0168e-01   4.0120e-01   1.9265e-01   2.5189e+00   9.7549e-01
#         ell        C_l_a        C_l_x
   1.2300e+02   2.1261e-05   3.3185e-07
   1.2400e+02   2.1064e-05   3.2795e-07
   1.2500e+02   2.0872e-05   3.2417e-07
   1.2600e+02   2.0686e-05   3.2049e-07
   1.2700e+02   2.0506e-05   3.1693e-07
   1.2800e+02   2.0333e-05   3.1348e-07
   1.2900e+02   2.0164e-05   3.1013e-07
   1.3000e+02   2.0002e-05   3.0688e-07
   1.3100e+02   1.9844e-05   3.0373e-07
   1.3200e+02   1.9692e-05   3.0067e-07
   1.3300e+02   1.9545e-05   2.9770e-07
   1.3400e+02   1.9403e-05   2.9481e-07
   1.3500e+02   1.9266e-05   2.9202e-07
   1.3600e+02   1.9133e-05   2.8930e-07
   1.3700e+02   1.9005e-05   2.8665e-07
   1.3800e+02   1.8881e-05   2.8409e-07
   1.3900e+02   1.8760e-05   2.8159e-07
   1.4000e+02   1.8644e-05   2.7915e-07
   1.4100e+02   1.8531e-05   2.7678e-07
   1.4200e+02   1.8421e-05   2.7446e-07
   1.4300e+02   1.8314e-05   2.7221e-07
   1.4400e+02   1.8209e-05   2.7000e-07
   1.4500e+02   1.8108e-05   2.6784e-07
   1.4600e+02   1.8008e-05   2.6572e-07
   1.4700e+02   1.7910e-05   2.6364e-07
   1.4800e+02   1.7814e-05   2.6160e-07
   1.4900e+02   1.7720e-05   2.5959e-07
   1.5000e+02   1.7627e-05   2.5762e-07
   1.5100e+02   1.7536e-05   2.5567e-07
   1.5200e+02   1.7445e-05   2.5375e-07
   1.5300e+02   1.7355e-05   2.5186e-07
   1.5400e+02   1.7266e-05   2.4998e-07
   1.5500e+02   1.7178e-05   2.4813e-07
   1.5600e+02   1.7090e-05   2.4629e-07
   1.5700e+02   1.7002e-05   2.4446e-07
   1.5800e+02   1.6914e-05   2.4264e-07
   1.5900e+02   1.6826e-05   2.4084e-07
   1.6000e+02   1.6738e-05   2.3903e-07
   1.6100e+02   1.6650e-05   2.3724e-07
   1.6200e+02   1.6562e-05   2.3546e-07
   1.6300e+02   1.6473e-05   2.3368e-07
   1.6400e+02   1.6385e-05   2.3190e-07
   1.6500e+02   1.6296e-05   2.3014e-07
   1.6600e+02   1.6207e-05   2.2837e-07
   1.6700e+02   1.6118e-05   2.2662e-07
   1.6800e+02   1.6029e-05   2.2487e-07
   1.6900e+02   1.5939e-05   2.2312e-07
   1.7000e+02   1.5850e-05   2.2138e-07
   1.7100e+02   1.5760e-05   2.1964e-07
   1.7200e+02   1.5670e-05   2.1791e-07
   1.7300e+02   1.5580e-05   2.1618e-07
