# Best fit model.
# chi^2=2.465400e+01.
# z_eff=0.783228.
# Parameters:   1.2991e+00   1.1800e+00  -3.5715e-01  -3.5563e-01   3.1430e+00   9.6186e-01
#         ell        C_l_a        C_l_x
   1.2300e+02   1.5985e-05   3.8761e-07
   1.2400e+02   1.5905e-05   3.8514e-07
   1.2500e+02   1.5823e-05   3.8266e-07
   1.2600e+02   1.5741e-05   3.8016e-07
   1.2700e+02   1.5658e-05   3.7764e-07
   1.2800e+02   1.5575e-05   3.7512e-07
   1.2900e+02   1.5490e-05   3.7257e-07
   1.3000e+02   1.5405e-05   3.7001e-07
   1.3100e+02   1.5318e-05   3.6742e-07
   1.3200e+02   1.5231e-05   3.6483e-07
   1.3300e+02   1.5143e-05   3.6221e-07
   1.3400e+02   1.5053e-05   3.5957e-07
   1.3500e+02   1.4963e-05   3.5691e-07
   1.3600e+02   1.4872e-05   3.5423e-07
   1.3700e+02   1.4780e-05   3.5154e-07
   1.3800e+02   1.4687e-05   3.4882e-07
   1.3900e+02   1.4592e-05   3.4608e-07
   1.4000e+02   1.4498e-05   3.4333e-07
   1.4100e+02   1.4402e-05   3.4057e-07
   1.4200e+02   1.4305e-05   3.3779e-07
   1.4300e+02   1.4208e-05   3.3499e-07
   1.4400e+02   1.4110e-05   3.3219e-07
   1.4500e+02   1.4012e-05   3.2937e-07
   1.4600e+02   1.3913e-05   3.2654e-07
   1.4700e+02   1.3813e-05   3.2371e-07
   1.4800e+02   1.3714e-05   3.2087e-07
   1.4900e+02   1.3613e-05   3.1802e-07
   1.5000e+02   1.3513e-05   3.1517e-07
   1.5100e+02   1.3412e-05   3.1232e-07
   1.5200e+02   1.3311e-05   3.0948e-07
   1.5300e+02   1.3210e-05   3.0663e-07
   1.5400e+02   1.3110e-05   3.0379e-07
   1.5500e+02   1.3009e-05   3.0096e-07
   1.5600e+02   1.2909e-05   2.9814e-07
   1.5700e+02   1.2808e-05   2.9532e-07
   1.5800e+02   1.2709e-05   2.9253e-07
   1.5900e+02   1.2610e-05   2.8974e-07
   1.6000e+02   1.2511e-05   2.8697e-07
   1.6100e+02   1.2413e-05   2.8422e-07
   1.6200e+02   1.2315e-05   2.8149e-07
   1.6300e+02   1.2219e-05   2.7878e-07
   1.6400e+02   1.2123e-05   2.7609e-07
   1.6500e+02   1.2028e-05   2.7343e-07
   1.6600e+02   1.1934e-05   2.7079e-07
   1.6700e+02   1.1841e-05   2.6818e-07
   1.6800e+02   1.1749e-05   2.6560e-07
   1.6900e+02   1.1658e-05   2.6305e-07
   1.7000e+02   1.1568e-05   2.6053e-07
   1.7100e+02   1.1479e-05   2.5805e-07
   1.7200e+02   1.1392e-05   2.5559e-07
   1.7300e+02   1.1306e-05   2.5318e-07
   1.7400e+02   1.1222e-05   2.5080e-07
   1.7500e+02   1.1138e-05   2.4845e-07
   1.7600e+02   1.1057e-05   2.4614e-07
   1.7700e+02   1.0976e-05   2.4387e-07
   1.7800e+02   1.0897e-05   2.4164e-07
   1.7900e+02   1.0819e-05   2.3944e-07
   1.8000e+02   1.0742e-05   2.3728e-07
   1.8100e+02   1.0667e-05   2.3516e-07
   1.8200e+02   1.0593e-05   2.3308e-07
   1.8300e+02   1.0520e-05   2.3104e-07
   1.8400e+02   1.0449e-05   2.2904e-07
   1.8500e+02   1.0380e-05   2.2709e-07
   1.8600e+02   1.0311e-05   2.2517e-07
   1.8700e+02   1.0244e-05   2.2329e-07
   1.8800e+02   1.0179e-05   2.2145e-07
   1.8900e+02   1.0115e-05   2.1966e-07
   1.9000e+02   1.0052e-05   2.1790e-07
   1.9100e+02   9.9909e-06   2.1618e-07
   1.9200e+02   9.9312e-06   2.1450e-07
   1.9300e+02   9.8730e-06   2.1286e-07
   1.9400e+02   9.8162e-06   2.1126e-07
   1.9500e+02   9.7609e-06   2.0970e-07
   1.9600e+02   9.7072e-06   2.0817e-07
   1.9700e+02   9.6549e-06   2.0668e-07
   1.9800e+02   9.6042e-06   2.0523e-07
   1.9900e+02   9.5551e-06   2.0382e-07
   2.0000e+02   9.5074e-06   2.0244e-07
   2.0100e+02   9.4613e-06   2.0110e-07
   2.0200e+02   9.4166e-06   1.9980e-07
   2.0300e+02   9.3732e-06   1.9852e-07
   2.0400e+02   9.3312e-06   1.9728e-07
   2.0500e+02   9.2905e-06   1.9607e-07
   2.0600e+02   9.2511e-06   1.9489e-07
   2.0700e+02   9.2128e-06   1.9374e-07
   2.0800e+02   9.1756e-06   1.9262e-07
   2.0900e+02   9.1395e-06   1.9153e-07
   2.1000e+02   9.1044e-06   1.9046e-07
   2.1100e+02   9.0704e-06   1.8942e-07
   2.1200e+02   9.0372e-06   1.8840e-07
   2.1300e+02   9.0049e-06   1.8740e-07
   2.1400e+02   8.9734e-06   1.8642e-07
   2.1500e+02   8.9428e-06   1.8547e-07
   2.1600e+02   8.9128e-06   1.8454e-07
   2.1700e+02   8.8835e-06   1.8362e-07
   2.1800e+02   8.8549e-06   1.8272e-07
   2.1900e+02   8.8268e-06   1.8184e-07
   2.2000e+02   8.7993e-06   1.8098e-07
   2.2100e+02   8.7723e-06   1.8013e-07
   2.2200e+02   8.7457e-06   1.7929e-07
   2.2300e+02   8.7195e-06   1.7846e-07
   2.2400e+02   8.6937e-06   1.7765e-07
   2.2500e+02   8.6682e-06   1.7684e-07
   2.2600e+02   8.6430e-06   1.7605e-07
   2.2700e+02   8.6180e-06   1.7526e-07
   2.2800e+02   8.5931e-06   1.7448e-07
   2.2900e+02   8.5684e-06   1.7371e-07
   2.3000e+02   8.5438e-06   1.7294e-07
   2.3100e+02   8.5192e-06   1.7217e-07
   2.3200e+02   8.4946e-06   1.7141e-07
   2.3300e+02   8.4700e-06   1.7065e-07
   2.3400e+02   8.4453e-06   1.6989e-07
   2.3500e+02   8.4206e-06   1.6913e-07
   2.3600e+02   8.3958e-06   1.6837e-07
   2.3700e+02   8.3708e-06   1.6761e-07
   2.3800e+02   8.3458e-06   1.6685e-07
   2.3900e+02   8.3206e-06   1.6610e-07
   2.4000e+02   8.2953e-06   1.6534e-07
   2.4100e+02   8.2699e-06   1.6458e-07
   2.4200e+02   8.2443e-06   1.6382e-07
   2.4300e+02   8.2185e-06   1.6306e-07
   2.4400e+02   8.1925e-06   1.6229e-07
   2.4500e+02   8.1664e-06   1.6153e-07
   2.4600e+02   8.1400e-06   1.6076e-07
   2.4700e+02   8.1134e-06   1.5998e-07
   2.4800e+02   8.0865e-06   1.5921e-07
   2.4900e+02   8.0594e-06   1.5843e-07
   2.5000e+02   8.0320e-06   1.5765e-07
   2.5100e+02   8.0043e-06   1.5686e-07
   2.5200e+02   7.9764e-06   1.5607e-07
   2.5300e+02   7.9482e-06   1.5527e-07
   2.5400e+02   7.9197e-06   1.5447e-07
   2.5500e+02   7.8910e-06   1.5367e-07
   2.5600e+02   7.8622e-06   1.5287e-07
   2.5700e+02   7.8331e-06   1.5206e-07
   2.5800e+02   7.8038e-06   1.5125e-07
   2.5900e+02   7.7744e-06   1.5043e-07
   2.6000e+02   7.7448e-06   1.4962e-07
   2.6100e+02   7.7150e-06   1.4880e-07
   2.6200e+02   7.6852e-06   1.4798e-07
   2.6300e+02   7.6552e-06   1.4716e-07
   2.6400e+02   7.6251e-06   1.4634e-07
   2.6500e+02   7.5950e-06   1.4552e-07
   2.6600e+02   7.5648e-06   1.4470e-07
   2.6700e+02   7.5345e-06   1.4388e-07
   2.6800e+02   7.5042e-06   1.4306e-07
   2.6900e+02   7.4739e-06   1.4223e-07
   2.7000e+02   7.4436e-06   1.4141e-07
   2.7100e+02   7.4132e-06   1.4059e-07
   2.7200e+02   7.3829e-06   1.3978e-07
   2.7300e+02   7.3527e-06   1.3896e-07
   2.7400e+02   7.3225e-06   1.3814e-07
   2.7500e+02   7.2923e-06   1.3733e-07
   2.7600e+02   7.2623e-06   1.3652e-07
   2.7700e+02   7.2323e-06   1.3571e-07
   2.7800e+02   7.2025e-06   1.3491e-07
   2.7900e+02   7.1728e-06   1.3411e-07
   2.8000e+02   7.1432e-06   1.3331e-07
   2.8100e+02   7.1138e-06   1.3252e-07
   2.8200e+02   7.0846e-06   1.3173e-07
   2.8300e+02   7.0556e-06   1.3095e-07
   2.8400e+02   7.0268e-06   1.3017e-07
   2.8500e+02   6.9982e-06   1.2940e-07
   2.8600e+02   6.9698e-06   1.2863e-07
   2.8700e+02   6.9417e-06   1.2787e-07
   2.8800e+02   6.9139e-06   1.2712e-07
   2.8900e+02   6.8863e-06   1.2637e-07
   2.9000e+02   6.8591e-06   1.2563e-07
   2.9100e+02   6.8321e-06   1.2490e-07
   2.9200e+02   6.8055e-06   1.2417e-07
   2.9300e+02   6.7793e-06   1.2346e-07
   2.9400e+02   6.7534e-06   1.2275e-07
   2.9500e+02   6.7278e-06   1.2205e-07
   2.9600e+02   6.7026e-06   1.2136e-07
   2.9700e+02   6.6777e-06   1.2067e-07
   2.9800e+02   6.6531e-06   1.2000e-07
   2.9900e+02   6.6290e-06   1.1933e-07
   3.0000e+02   6.6051e-06   1.1867e-07
   3.0100e+02   6.5816e-06   1.1802e-07
   3.0200e+02   6.5585e-06   1.1738e-07
   3.0300e+02   6.5357e-06   1.1674e-07
   3.0400e+02   6.5133e-06   1.1612e-07
   3.0500e+02   6.4913e-06   1.1550e-07
   3.0600e+02   6.4695e-06   1.1489e-07
   3.0700e+02   6.4482e-06   1.1429e-07
   3.0800e+02   6.4272e-06   1.1370e-07
   3.0900e+02   6.4066e-06   1.1312e-07
   3.1000e+02   6.3863e-06   1.1254e-07
   3.1100e+02   6.3664e-06   1.1197e-07
   3.1200e+02   6.3469e-06   1.1142e-07
   3.1300e+02   6.3277e-06   1.1087e-07
   3.1400e+02   6.3089e-06   1.1033e-07
   3.1500e+02   6.2905e-06   1.0980e-07
   3.1600e+02   6.2725e-06   1.0927e-07
   3.1700e+02   6.2548e-06   1.0876e-07
   3.1800e+02   6.2374e-06   1.0825e-07
   3.1900e+02   6.2204e-06   1.0775e-07
   3.2000e+02   6.2037e-06   1.0726e-07
   3.2100e+02   6.1874e-06   1.0678e-07
   3.2200e+02   6.1713e-06   1.0631e-07
   3.2300e+02   6.1556e-06   1.0584e-07
   3.2400e+02   6.1401e-06   1.0538e-07
   3.2500e+02   6.1249e-06   1.0492e-07
   3.2600e+02   6.1100e-06   1.0448e-07
   3.2700e+02   6.0953e-06   1.0404e-07
   3.2800e+02   6.0809e-06   1.0360e-07
   3.2900e+02   6.0667e-06   1.0317e-07
   3.3000e+02   6.0528e-06   1.0275e-07
   3.3100e+02   6.0390e-06   1.0233e-07
   3.3200e+02   6.0255e-06   1.0192e-07
   3.3300e+02   6.0122e-06   1.0152e-07
   3.3400e+02   5.9990e-06   1.0112e-07
   3.3500e+02   5.9861e-06   1.0072e-07
   3.3600e+02   5.9733e-06   1.0033e-07
   3.3700e+02   5.9606e-06   9.9944e-08
   3.3800e+02   5.9481e-06   9.9562e-08
   3.3900e+02   5.9358e-06   9.9184e-08
   3.4000e+02   5.9236e-06   9.8809e-08
   3.4100e+02   5.9114e-06   9.8439e-08
   3.4200e+02   5.8994e-06   9.8072e-08
   3.4300e+02   5.8875e-06   9.7709e-08
   3.4400e+02   5.8757e-06   9.7349e-08
   3.4500e+02   5.8640e-06   9.6992e-08
   3.4600e+02   5.8524e-06   9.6639e-08
   3.4700e+02   5.8409e-06   9.6288e-08
   3.4800e+02   5.8294e-06   9.5941e-08
   3.4900e+02   5.8181e-06   9.5596e-08
   3.5000e+02   5.8067e-06   9.5253e-08
   3.5100e+02   5.7955e-06   9.4913e-08
   3.5200e+02   5.7843e-06   9.4575e-08
   3.5300e+02   5.7731e-06   9.4240e-08
   3.5400e+02   5.7620e-06   9.3907e-08
   3.5500e+02   5.7510e-06   9.3575e-08
   3.5600e+02   5.7399e-06   9.3246e-08
   3.5700e+02   5.7289e-06   9.2918e-08
   3.5800e+02   5.7180e-06   9.2592e-08
   3.5900e+02   5.7070e-06   9.2267e-08
   3.6000e+02   5.6960e-06   9.1943e-08
   3.6100e+02   5.6851e-06   9.1621e-08
   3.6200e+02   5.6741e-06   9.1300e-08
   3.6300e+02   5.6632e-06   9.0979e-08
   3.6400e+02   5.6522e-06   9.0660e-08
   3.6500e+02   5.6412e-06   9.0341e-08
   3.6600e+02   5.6302e-06   9.0022e-08
   3.6700e+02   5.6192e-06   8.9705e-08
   3.6800e+02   5.6081e-06   8.9387e-08
   3.6900e+02   5.5971e-06   8.9070e-08
   3.7000e+02   5.5859e-06   8.8753e-08
   3.7100e+02   5.5748e-06   8.8436e-08
   3.7200e+02   5.5636e-06   8.8120e-08
   3.7300e+02   5.5524e-06   8.7804e-08
   3.7400e+02   5.5412e-06   8.7489e-08
   3.7500e+02   5.5300e-06   8.7174e-08
   3.7600e+02   5.5187e-06   8.6860e-08
   3.7700e+02   5.5075e-06   8.6546e-08
   3.7800e+02   5.4962e-06   8.6233e-08
   3.7900e+02   5.4849e-06   8.5921e-08
   3.8000e+02   5.4737e-06   8.5609e-08
   3.8100e+02   5.4624e-06   8.5298e-08
   3.8200e+02   5.4511e-06   8.4987e-08
   3.8300e+02   5.4399e-06   8.4677e-08
   3.8400e+02   5.4286e-06   8.4368e-08
   3.8500e+02   5.4174e-06   8.4060e-08
   3.8600e+02   5.4061e-06   8.3752e-08
   3.8700e+02   5.3949e-06   8.3445e-08
   3.8800e+02   5.3837e-06   8.3139e-08
   3.8900e+02   5.3725e-06   8.2834e-08
   3.9000e+02   5.3613e-06   8.2530e-08
   3.9100e+02   5.3502e-06   8.2226e-08
   3.9200e+02   5.3390e-06   8.1924e-08
   3.9300e+02   5.3279e-06   8.1623e-08
   3.9400e+02   5.3169e-06   8.1322e-08
   3.9500e+02   5.3058e-06   8.1023e-08
   3.9600e+02   5.2948e-06   8.0725e-08
   3.9700e+02   5.2839e-06   8.0427e-08
   3.9800e+02   5.2730e-06   8.0131e-08
   3.9900e+02   5.2621e-06   7.9836e-08
   4.0000e+02   5.2513e-06   7.9543e-08
   4.0100e+02   5.2405e-06   7.9250e-08
   4.0200e+02   5.2297e-06   7.8959e-08
   4.0300e+02   5.2190e-06   7.8669e-08
   4.0400e+02   5.2084e-06   7.8380e-08
   4.0500e+02   5.1978e-06   7.8092e-08
   4.0600e+02   5.1873e-06   7.7806e-08
   4.0700e+02   5.1768e-06   7.7522e-08
   4.0800e+02   5.1664e-06   7.7239e-08
   4.0900e+02   5.1561e-06   7.6957e-08
   4.1000e+02   5.1458e-06   7.6677e-08
   4.1100e+02   5.1356e-06   7.6398e-08
   4.1200e+02   5.1254e-06   7.6121e-08
   4.1300e+02   5.1153e-06   7.5846e-08
   4.1400e+02   5.1053e-06   7.5572e-08
   4.1500e+02   5.0954e-06   7.5301e-08
   4.1600e+02   5.0855e-06   7.5030e-08
   4.1700e+02   5.0757e-06   7.4762e-08
   4.1800e+02   5.0660e-06   7.4495e-08
   4.1900e+02   5.0564e-06   7.4230e-08
   4.2000e+02   5.0468e-06   7.3967e-08
   4.2100e+02   5.0373e-06   7.3706e-08
   4.2200e+02   5.0280e-06   7.3447e-08
   4.2300e+02   5.0187e-06   7.3190e-08
   4.2400e+02   5.0095e-06   7.2935e-08
   4.2500e+02   5.0004e-06   7.2682e-08
   4.2600e+02   4.9913e-06   7.2430e-08
   4.2700e+02   4.9824e-06   7.2182e-08
   4.2800e+02   4.9736e-06   7.1935e-08
   4.2900e+02   4.9649e-06   7.1690e-08
   4.3000e+02   4.9562e-06   7.1448e-08
   4.3100e+02   4.9477e-06   7.1207e-08
   4.3200e+02   4.9393e-06   7.0969e-08
   4.3300e+02   4.9309e-06   7.0732e-08
   4.3400e+02   4.9227e-06   7.0498e-08
   4.3500e+02   4.9145e-06   7.0266e-08
   4.3600e+02   4.9064e-06   7.0036e-08
   4.3700e+02   4.8984e-06   6.9807e-08
   4.3800e+02   4.8905e-06   6.9581e-08
