# Best fit model.
# chi^2=2.309000e+01.
# z_eff=0.623972.
# Parameters:   9.9745e-01  -2.1636e+00  -4.7088e-01  -5.8266e+00   2.4269e+00   1.0371e+00
#         ell        C_l_a        C_l_x
   1.2300e+02   1.7526e-05   3.6318e-07
   1.2400e+02   1.7369e-05   3.5925e-07
   1.2500e+02   1.7213e-05   3.5532e-07
   1.2600e+02   1.7056e-05   3.5140e-07
   1.2700e+02   1.6900e-05   3.4748e-07
   1.2800e+02   1.6743e-05   3.4358e-07
   1.2900e+02   1.6587e-05   3.3970e-07
   1.3000e+02   1.6432e-05   3.3583e-07
   1.3100e+02   1.6277e-05   3.3198e-07
   1.3200e+02   1.6124e-05   3.2816e-07
   1.3300e+02   1.5971e-05   3.2437e-07
   1.3400e+02   1.5819e-05   3.2061e-07
   1.3500e+02   1.5669e-05   3.1688e-07
   1.3600e+02   1.5521e-05   3.1320e-07
   1.3700e+02   1.5374e-05   3.0955e-07
   1.3800e+02   1.5228e-05   3.0595e-07
   1.3900e+02   1.5085e-05   3.0240e-07
   1.4000e+02   1.4943e-05   2.9889e-07
   1.4100e+02   1.4803e-05   2.9543e-07
   1.4200e+02   1.4665e-05   2.9203e-07
   1.4300e+02   1.4530e-05   2.8867e-07
   1.4400e+02   1.4397e-05   2.8538e-07
   1.4500e+02   1.4266e-05   2.8214e-07
   1.4600e+02   1.4137e-05   2.7896e-07
   1.4700e+02   1.4011e-05   2.7584e-07
   1.4800e+02   1.3887e-05   2.7279e-07
   1.4900e+02   1.3766e-05   2.6980e-07
   1.5000e+02   1.3648e-05   2.6687e-07
   1.5100e+02   1.3532e-05   2.6401e-07
   1.5200e+02   1.3418e-05   2.6121e-07
   1.5300e+02   1.3308e-05   2.5847e-07
   1.5400e+02   1.3200e-05   2.5580e-07
   1.5500e+02   1.3094e-05   2.5319e-07
   1.5600e+02   1.2991e-05   2.5064e-07
   1.5700e+02   1.2891e-05   2.4816e-07
   1.5800e+02   1.2794e-05   2.4575e-07
   1.5900e+02   1.2700e-05   2.4340e-07
   1.6000e+02   1.2608e-05   2.4111e-07
   1.6100e+02   1.2518e-05   2.3889e-07
   1.6200e+02   1.2432e-05   2.3673e-07
   1.6300e+02   1.2347e-05   2.3462e-07
   1.6400e+02   1.2266e-05   2.3258e-07
   1.6500e+02   1.2186e-05   2.3059e-07
   1.6600e+02   1.2109e-05   2.2865e-07
   1.6700e+02   1.2035e-05   2.2677e-07
   1.6800e+02   1.1962e-05   2.2494e-07
   1.6900e+02   1.1892e-05   2.2316e-07
   1.7000e+02   1.1824e-05   2.2143e-07
   1.7100e+02   1.1758e-05   2.1975e-07
   1.7200e+02   1.1694e-05   2.1811e-07
   1.7300e+02   1.1632e-05   2.1652e-07
   1.7400e+02   1.1571e-05   2.1497e-07
   1.7500e+02   1.1512e-05   2.1346e-07
   1.7600e+02   1.1455e-05   2.1198e-07
   1.7700e+02   1.1400e-05   2.1054e-07
   1.7800e+02   1.1346e-05   2.0914e-07
   1.7900e+02   1.1293e-05   2.0777e-07
   1.8000e+02   1.1241e-05   2.0643e-07
   1.8100e+02   1.1191e-05   2.0511e-07
   1.8200e+02   1.1142e-05   2.0382e-07
   1.8300e+02   1.1093e-05   2.0256e-07
   1.8400e+02   1.1045e-05   2.0132e-07
   1.8500e+02   1.0998e-05   2.0010e-07
   1.8600e+02   1.0952e-05   1.9889e-07
   1.8700e+02   1.0907e-05   1.9771e-07
   1.8800e+02   1.0862e-05   1.9654e-07
   1.8900e+02   1.0817e-05   1.9538e-07
   1.9000e+02   1.0773e-05   1.9424e-07
   1.9100e+02   1.0729e-05   1.9311e-07
   1.9200e+02   1.0686e-05   1.9199e-07
   1.9300e+02   1.0642e-05   1.9088e-07
   1.9400e+02   1.0599e-05   1.8978e-07
   1.9500e+02   1.0556e-05   1.8869e-07
   1.9600e+02   1.0513e-05   1.8760e-07
   1.9700e+02   1.0470e-05   1.8651e-07
   1.9800e+02   1.0427e-05   1.8543e-07
   1.9900e+02   1.0383e-05   1.8434e-07
   2.0000e+02   1.0340e-05   1.8326e-07
   2.0100e+02   1.0296e-05   1.8218e-07
   2.0200e+02   1.0252e-05   1.8109e-07
   2.0300e+02   1.0208e-05   1.8001e-07
   2.0400e+02   1.0163e-05   1.7892e-07
   2.0500e+02   1.0118e-05   1.7784e-07
   2.0600e+02   1.0074e-05   1.7675e-07
   2.0700e+02   1.0028e-05   1.7566e-07
   2.0800e+02   9.9830e-06   1.7458e-07
   2.0900e+02   9.9374e-06   1.7349e-07
   2.1000e+02   9.8916e-06   1.7239e-07
   2.1100e+02   9.8456e-06   1.7130e-07
   2.1200e+02   9.7993e-06   1.7021e-07
   2.1300e+02   9.7528e-06   1.6911e-07
   2.1400e+02   9.7061e-06   1.6801e-07
   2.1500e+02   9.6592e-06   1.6691e-07
   2.1600e+02   9.6121e-06   1.6581e-07
   2.1700e+02   9.5648e-06   1.6470e-07
   2.1800e+02   9.5174e-06   1.6360e-07
   2.1900e+02   9.4698e-06   1.6249e-07
   2.2000e+02   9.4222e-06   1.6139e-07
   2.2100e+02   9.3746e-06   1.6029e-07
   2.2200e+02   9.3269e-06   1.5918e-07
   2.2300e+02   9.2792e-06   1.5808e-07
   2.2400e+02   9.2316e-06   1.5698e-07
   2.2500e+02   9.1840e-06   1.5589e-07
   2.2600e+02   9.1366e-06   1.5479e-07
   2.2700e+02   9.0893e-06   1.5371e-07
   2.2800e+02   9.0422e-06   1.5262e-07
   2.2900e+02   8.9953e-06   1.5154e-07
   2.3000e+02   8.9486e-06   1.5047e-07
   2.3100e+02   8.9022e-06   1.4940e-07
   2.3200e+02   8.8561e-06   1.4834e-07
   2.3300e+02   8.8103e-06   1.4729e-07
   2.3400e+02   8.7649e-06   1.4624e-07
   2.3500e+02   8.7199e-06   1.4520e-07
   2.3600e+02   8.6752e-06   1.4417e-07
   2.3700e+02   8.6309e-06   1.4315e-07
   2.3800e+02   8.5871e-06   1.4213e-07
   2.3900e+02   8.5436e-06   1.4113e-07
   2.4000e+02   8.5007e-06   1.4013e-07
   2.4100e+02   8.4582e-06   1.3915e-07
   2.4200e+02   8.4162e-06   1.3817e-07
   2.4300e+02   8.3747e-06   1.3721e-07
   2.4400e+02   8.3338e-06   1.3625e-07
   2.4500e+02   8.2934e-06   1.3531e-07
   2.4600e+02   8.2535e-06   1.3438e-07
   2.4700e+02   8.2143e-06   1.3346e-07
   2.4800e+02   8.1756e-06   1.3255e-07
   2.4900e+02   8.1376e-06   1.3166e-07
   2.5000e+02   8.1002e-06   1.3077e-07
   2.5100e+02   8.0634e-06   1.2990e-07
   2.5200e+02   8.0273e-06   1.2905e-07
   2.5300e+02   7.9919e-06   1.2821e-07
   2.5400e+02   7.9570e-06   1.2738e-07
   2.5500e+02   7.9228e-06   1.2656e-07
   2.5600e+02   7.8892e-06   1.2576e-07
   2.5700e+02   7.8562e-06   1.2496e-07
   2.5800e+02   7.8238e-06   1.2418e-07
   2.5900e+02   7.7920e-06   1.2342e-07
   2.6000e+02   7.7608e-06   1.2266e-07
   2.6100e+02   7.7301e-06   1.2192e-07
   2.6200e+02   7.7000e-06   1.2119e-07
   2.6300e+02   7.6705e-06   1.2047e-07
   2.6400e+02   7.6415e-06   1.1976e-07
   2.6500e+02   7.6130e-06   1.1906e-07
   2.6600e+02   7.5850e-06   1.1837e-07
   2.6700e+02   7.5576e-06   1.1770e-07
   2.6800e+02   7.5306e-06   1.1704e-07
   2.6900e+02   7.5041e-06   1.1638e-07
   2.7000e+02   7.4782e-06   1.1574e-07
   2.7100e+02   7.4527e-06   1.1511e-07
   2.7200e+02   7.4276e-06   1.1449e-07
   2.7300e+02   7.4030e-06   1.1388e-07
   2.7400e+02   7.3789e-06   1.1327e-07
   2.7500e+02   7.3551e-06   1.1268e-07
   2.7600e+02   7.3317e-06   1.1210e-07
   2.7700e+02   7.3087e-06   1.1152e-07
   2.7800e+02   7.2861e-06   1.1096e-07
   2.7900e+02   7.2638e-06   1.1040e-07
   2.8000e+02   7.2418e-06   1.0985e-07
   2.8100e+02   7.2201e-06   1.0931e-07
   2.8200e+02   7.1987e-06   1.0877e-07
   2.8300e+02   7.1776e-06   1.0824e-07
   2.8400e+02   7.1567e-06   1.0772e-07
   2.8500e+02   7.1361e-06   1.0721e-07
   2.8600e+02   7.1156e-06   1.0670e-07
   2.8700e+02   7.0954e-06   1.0619e-07
   2.8800e+02   7.0754e-06   1.0570e-07
   2.8900e+02   7.0555e-06   1.0520e-07
   2.9000e+02   7.0358e-06   1.0472e-07
   2.9100e+02   7.0163e-06   1.0423e-07
   2.9200e+02   6.9968e-06   1.0375e-07
   2.9300e+02   6.9774e-06   1.0328e-07
   2.9400e+02   6.9582e-06   1.0281e-07
   2.9500e+02   6.9390e-06   1.0234e-07
   2.9600e+02   6.9200e-06   1.0188e-07
   2.9700e+02   6.9010e-06   1.0142e-07
   2.9800e+02   6.8821e-06   1.0097e-07
   2.9900e+02   6.8633e-06   1.0051e-07
   3.0000e+02   6.8446e-06   1.0006e-07
   3.0100e+02   6.8259e-06   9.9619e-08
   3.0200e+02   6.8073e-06   9.9177e-08
   3.0300e+02   6.7888e-06   9.8737e-08
   3.0400e+02   6.7703e-06   9.8301e-08
   3.0500e+02   6.7519e-06   9.7867e-08
   3.0600e+02   6.7336e-06   9.7435e-08
   3.0700e+02   6.7152e-06   9.7007e-08
   3.0800e+02   6.6970e-06   9.6580e-08
   3.0900e+02   6.6788e-06   9.6156e-08
   3.1000e+02   6.6606e-06   9.5734e-08
   3.1100e+02   6.6424e-06   9.5314e-08
   3.1200e+02   6.6243e-06   9.4895e-08
   3.1300e+02   6.6062e-06   9.4479e-08
   3.1400e+02   6.5881e-06   9.4064e-08
   3.1500e+02   6.5700e-06   9.3651e-08
   3.1600e+02   6.5520e-06   9.3239e-08
   3.1700e+02   6.5339e-06   9.2829e-08
   3.1800e+02   6.5159e-06   9.2420e-08
   3.1900e+02   6.4979e-06   9.2013e-08
   3.2000e+02   6.4800e-06   9.1607e-08
   3.2100e+02   6.4621e-06   9.1203e-08
   3.2200e+02   6.4442e-06   9.0801e-08
   3.2300e+02   6.4263e-06   9.0400e-08
   3.2400e+02   6.4085e-06   9.0002e-08
   3.2500e+02   6.3908e-06   8.9604e-08
   3.2600e+02   6.3731e-06   8.9209e-08
   3.2700e+02   6.3555e-06   8.8816e-08
