# Galaxy-galaxy cross-spectrum.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_x.
#    ell           C_l_x
    49.5     6.68097e-06
    99.5     3.69401e-06
   149.5     2.26215e-06
   199.5     1.65116e-06
   249.5     1.28679e-06
   299.5     8.97855e-07
   349.5     7.81202e-07
   399.5     6.37849e-07
   449.5     5.40969e-07
   499.5     4.58029e-07
   549.5     4.04828e-07
   599.5     4.66466e-07
   649.5     3.61057e-07
   699.5     2.88753e-07
   749.5     3.10222e-07
   799.5     2.84525e-07
   849.5     2.48372e-07
   899.5     2.32922e-07
   949.5     2.12865e-07
   999.5     2.06668e-07
