# Galaxy-galaxy cross-spectrum.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_x.
#    ell           C_l_x
    49.5     1.15900e-05
    99.5     6.14990e-06
   149.5     4.38980e-06
   199.5     2.89931e-06
   249.5     2.23078e-06
   299.5     1.74918e-06
   349.5     1.42107e-06
   399.5     1.15906e-06
   449.5     1.03767e-06
   499.5     9.08904e-07
   549.5     8.00490e-07
   599.5     7.11937e-07
   649.5     6.65948e-07
   699.5     6.13860e-07
   749.5     5.76059e-07
   799.5     4.99984e-07
   849.5     4.83738e-07
   899.5     4.32221e-07
   949.5     3.85637e-07
   999.5     3.61422e-07
