# zmin zmax all_combined bin_1_combined bin_2_combined bin_3_combined bin_4_combined all_north bin_1_north bin_2_north bin_3_north bin_4_north all_south bin_1_south bin_2_south bin_3_south bin_4_south
0.9 0.92 18.566 0.004 0.044 3.987 14.120 18.393 0.007 0.041 3.939 13.974 18.645 0.002 0.046 4.009 14.187
0.92 0.94 16.714 0.003 0.034 2.303 13.739 16.559 0.003 0.036 2.454 13.401 16.785 0.003 0.033 2.234 13.892
0.94 0.96 15.239 0.001 0.027 1.444 12.957 15.274 0.000 0.035 1.598 12.880 15.223 0.001 0.024 1.375 12.992
0.96 0.98 12.989 0.003 0.028 0.889 11.080 13.282 0.003 0.035 1.015 11.263 12.855 0.003 0.025 0.832 10.997
0.98 1.0 10.743 0.002 0.028 0.559 8.991 10.866 0.003 0.032 0.614 9.120 10.688 0.002 0.026 0.534 8.932
1.0 1.02 9.139 0.003 0.020 0.377 7.364 8.899 0.005 0.022 0.389 7.152 9.248 0.003 0.019 0.371 7.460
1.02 1.04 7.628 0.002 0.021 0.222 5.762 7.859 0.002 0.025 0.223 5.952 7.523 0.002 0.019 0.222 5.675
1.04 1.06 6.445 0.003 0.019 0.144 4.438 6.443 0.000 0.023 0.137 4.482 6.445 0.004 0.017 0.147 4.418
1.06 1.08 5.220 0.002 0.021 0.103 3.209 5.383 0.002 0.022 0.111 3.215 5.146 0.002 0.020 0.100 3.207
1.08 1.1 4.301 0.003 0.016 0.069 2.312 4.477 0.005 0.020 0.068 2.316 4.221 0.002 0.014 0.070 2.311
1.1 1.12 3.494 0.003 0.013 0.053 1.593 3.623 0.002 0.017 0.064 1.590 3.436 0.003 0.011 0.049 1.594
1.12 1.14 2.789 0.001 0.011 0.034 1.071 2.809 0.000 0.006 0.043 1.101 2.780 0.001 0.013 0.030 1.057
1.14 1.16 2.269 0.001 0.011 0.030 0.745 2.353 0.000 0.013 0.022 0.757 2.231 0.001 0.010 0.033 0.739
1.16 1.18 1.784 0.001 0.008 0.023 0.490 1.905 0.000 0.008 0.021 0.496 1.728 0.001 0.008 0.024 0.487
1.18 1.2 1.363 0.001 0.005 0.023 0.309 1.424 0.000 0.005 0.033 0.377 1.336 0.001 0.006 0.018 0.278
1.2 1.22 1.027 0.002 0.005 0.016 0.215 1.066 0.002 0.006 0.013 0.251 1.009 0.001 0.004 0.018 0.198
1.22 1.24 0.782 0.001 0.006 0.009 0.145 0.799 0.000 0.003 0.004 0.165 0.774 0.002 0.007 0.011 0.136
1.24 1.26 0.603 0.001 0.003 0.009 0.104 0.609 0.000 0.006 0.012 0.121 0.601 0.001 0.002 0.007 0.097
1.26 1.28 0.478 0.001 0.005 0.008 0.066 0.516 0.000 0.005 0.010 0.083 0.461 0.002 0.005 0.008 0.058
1.28 1.3 0.373 0.001 0.004 0.006 0.055 0.395 0.000 0.003 0.003 0.076 0.363 0.002 0.004 0.007 0.045
1.3 1.32 0.289 0.002 0.007 0.012 0.042 0.248 0.000 0.003 0.012 0.030 0.308 0.003 0.008 0.012 0.048
1.32 1.34 0.226 0.002 0.003 0.009 0.031 0.237 0.003 0.002 0.006 0.022 0.221 0.002 0.004 0.010 0.035
1.34 1.36 0.156 0.000 0.002 0.005 0.017 0.149 0.000 0.002 0.005 0.014 0.160 0.000 0.002 0.005 0.018
1.36 1.38 0.112 0.001 0.001 0.006 0.016 0.125 0.000 0.000 0.002 0.018 0.106 0.001 0.001 0.007 0.015
1.38 1.4 0.077 0.001 0.002 0.003 0.009 0.063 0.000 0.002 0.003 0.009 0.083 0.001 0.002 0.004 0.009
1.4 1.42 0.064 0.001 0.001 0.003 0.006 0.066 0.002 0.000 0.006 0.006 0.063 0.001 0.002 0.001 0.006
1.42 1.44 0.042 0.001 0.001 0.002 0.005 0.034 0.000 0.000 0.000 0.003 0.045 0.001 0.001 0.002 0.006
1.44 1.46 0.019 0.000 0.001 0.002 0.001 0.017 0.000 0.002 0.002 0.000 0.019 0.001 0.000 0.002 0.002
1.46 1.48 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
