# zmin zmax all_combined bin_1_combined bin_2_combined bin_3_combined bin_4_combined all_north bin_1_north bin_2_north bin_3_north bin_4_north all_south bin_1_south bin_2_south bin_3_south bin_4_south
0.9 0.92 58.118 0.000 0.100 14.335 40.018 55.893 0.000 0.242 14.298 37.482 59.129 0.000 0.036 14.351 41.170
0.92 0.94 51.536 0.000 0.139 6.178 40.243 47.807 0.000 0.057 8.655 35.870 53.231 0.000 0.176 5.052 42.230
0.94 0.96 48.272 0.000 0.044 4.910 37.507 42.564 0.000 0.058 5.184 33.152 50.867 0.000 0.037 4.785 39.486
0.96 0.98 45.063 0.050 0.044 4.315 31.858 35.931 0.160 0.059 4.139 27.680 49.214 0.000 0.037 4.395 33.757
0.98 1.0 41.366 0.000 0.331 2.544 28.492 37.141 0.000 0.750 3.373 25.925 43.287 0.000 0.140 2.166 29.660
1.0 1.02 31.092 0.000 0.000 1.382 21.485 32.247 0.000 0.000 1.941 23.279 30.567 0.000 0.000 1.127 20.669
1.02 1.04 27.206 0.000 0.018 1.012 16.081 26.029 0.000 0.058 1.403 16.905 27.740 0.000 0.000 0.835 15.706
1.04 1.06 23.346 0.054 0.000 0.508 12.797 26.654 0.174 0.000 0.695 14.273 21.842 0.000 0.000 0.424 12.126
1.06 1.08 22.887 0.000 0.000 0.790 10.932 20.724 0.000 0.000 0.591 11.693 23.870 0.000 0.000 0.880 10.586
1.08 1.1 21.001 0.000 0.000 0.542 8.520 18.701 0.000 0.000 0.422 8.428 22.047 0.000 0.000 0.596 8.563
1.1 1.12 13.356 0.000 0.058 0.021 5.175 15.245 0.000 0.187 0.000 6.671 12.497 0.000 0.000 0.031 4.495
1.12 1.14 15.473 0.000 0.000 0.021 5.410 13.290 0.000 0.000 0.000 5.539 16.465 0.000 0.000 0.031 5.351
1.14 1.16 10.557 0.000 0.000 0.115 3.116 10.725 0.000 0.000 0.066 3.426 10.481 0.000 0.000 0.137 2.975
1.16 1.18 9.218 0.000 0.077 0.097 1.381 10.262 0.000 0.246 0.000 2.120 8.744 0.000 0.000 0.140 1.044
1.18 1.2 7.918 0.000 0.000 0.057 1.715 9.010 0.000 0.000 0.181 2.310 7.422 0.000 0.000 0.000 1.444
1.2 1.22 5.767 0.000 0.000 0.000 1.240 7.337 0.000 0.000 0.000 1.502 5.054 0.000 0.000 0.000 1.121
1.22 1.24 6.077 0.000 0.000 0.000 0.754 6.933 0.000 0.000 0.000 1.458 5.687 0.000 0.000 0.000 0.433
1.24 1.26 4.888 0.000 0.000 0.000 0.713 5.483 0.000 0.000 0.000 1.075 4.617 0.000 0.000 0.000 0.548
1.26 1.28 2.269 0.000 0.000 0.000 0.365 1.937 0.000 0.000 0.000 0.897 2.420 0.000 0.000 0.000 0.123
1.28 1.3 2.515 0.000 0.000 0.000 0.141 2.128 0.000 0.000 0.000 0.168 2.692 0.000 0.000 0.000 0.129
1.3 1.32 2.072 0.000 0.000 0.000 0.292 2.474 0.000 0.000 0.000 0.370 1.889 0.000 0.000 0.000 0.256
1.32 1.34 1.608 0.000 0.000 0.000 0.113 1.585 0.000 0.000 0.000 0.362 1.618 0.000 0.000 0.000 0.000
1.34 1.36 1.162 0.000 0.000 0.000 0.000 1.058 0.000 0.000 0.000 0.000 1.209 0.000 0.000 0.000 0.000
1.36 1.38 1.383 0.000 0.000 0.000 0.016 0.578 0.000 0.000 0.000 0.051 1.749 0.000 0.000 0.000 0.000
1.38 1.4 0.554 0.000 0.059 0.000 0.111 0.883 0.000 0.188 0.000 0.356 0.404 0.000 0.000 0.000 0.000
1.4 1.42 0.739 0.000 0.000 0.099 0.000 0.884 0.000 0.000 0.000 0.000 0.673 0.000 0.000 0.143 0.000
1.42 1.44 0.338 0.000 0.000 0.000 0.026 0.705 0.000 0.000 0.000 0.000 0.172 0.000 0.000 0.000 0.038
1.44 1.46 0.185 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.269 0.000 0.000 0.000 0.000
1.46 1.48 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
