mbin,MA,MB,MC
Om0,0.310,0.306,0.304
sigma8,0.785,0.839,0.813
100*Ob0h2,2.228,2.226,2.222
ns,0.964,0.963,0.961
h,0.703,0.700,0.695
logMsMin,11.10,11.30,11.40
logMsMax,12.00,12.0,12.0
Ngal,400916,196578,116682
ngal,3e-4,1.5e-4,0.8e-4
M_stellar_11,0,0,0
R_c,0.98,1.01,1.02
psi,0.93,0.93,0.94
