,RApArcmin,pz1_act_dr6_fiducial,pz1_act_dr6_fiducial_err,pz1_act_dr6_Beta_1.2,pz1_act_dr6_Beta_1.2_err,pz1_act_dr6_Beta_1.4,pz1_act_dr6_Beta_1.4_err,pz1_act_dr6_Beta_1.6,pz1_act_dr6_Beta_1.6_err,pz2_act_dr6_fiducial,pz2_act_dr6_fiducial_err,pz2_act_dr6_Beta_1.2,pz2_act_dr6_Beta_1.2_err,pz2_act_dr6_Beta_1.4,pz2_act_dr6_Beta_1.4_err,pz2_act_dr6_Beta_1.6,pz2_act_dr6_Beta_1.6_err,pz3_act_dr6_fiducial,pz3_act_dr6_fiducial_err,pz3_act_dr6_Beta_1.2,pz3_act_dr6_Beta_1.2_err,pz3_act_dr6_Beta_1.4,pz3_act_dr6_Beta_1.4_err,pz3_act_dr6_Beta_1.6,pz3_act_dr6_Beta_1.6_err,pz4_act_dr6_fiducial,pz4_act_dr6_fiducial_err,pz4_act_dr6_Beta_1.2,pz4_act_dr6_Beta_1.2_err,pz4_act_dr6_Beta_1.4,pz4_act_dr6_Beta_1.4_err,pz4_act_dr6_Beta_1.6,pz4_act_dr6_Beta_1.6_err
0,1.0,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09,8.937590142613908e-08,9.426750232321166e-09
1,1.625,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08,3.528669084828289e-07,2.2639352683381826e-08
2,2.25,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08,7.018952233366745e-07,3.618552344318347e-08
3,2.875,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08,1.2090546136929174e-06,5.68189251540588e-08
4,3.5,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08,1.6113528108996926e-06,8.236010280196756e-08
5,4.125,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07,1.911611045163706e-06,1.1498411717014067e-07
6,4.75,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07,2.3413244009217247e-06,1.4746886290526737e-07
7,5.375,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07,2.970367847750571e-06,1.8369545709975755e-07
8,6.0,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07,3.6016090038088014e-06,2.1632720061361998e-07
