,RApArcmin,pz1_act_dr6_fiducial,pz1_act_dr6_fiducial_err,pz1_act_dr6_Beta_1.2,pz1_act_dr6_Beta_1.2_err,pz1_act_dr6_Beta_1.4,pz1_act_dr6_Beta_1.4_err,pz1_act_dr6_Beta_1.6,pz1_act_dr6_Beta_1.6_err,pz2_act_dr6_fiducial,pz2_act_dr6_fiducial_err,pz2_act_dr6_Beta_1.2,pz2_act_dr6_Beta_1.2_err,pz2_act_dr6_Beta_1.4,pz2_act_dr6_Beta_1.4_err,pz2_act_dr6_Beta_1.6,pz2_act_dr6_Beta_1.6_err,pz3_act_dr6_fiducial,pz3_act_dr6_fiducial_err,pz3_act_dr6_Beta_1.2,pz3_act_dr6_Beta_1.2_err,pz3_act_dr6_Beta_1.4,pz3_act_dr6_Beta_1.4_err,pz3_act_dr6_Beta_1.6,pz3_act_dr6_Beta_1.6_err,pz4_act_dr6_fiducial,pz4_act_dr6_fiducial_err,pz4_act_dr6_Beta_1.2,pz4_act_dr6_Beta_1.2_err,pz4_act_dr6_Beta_1.4,pz4_act_dr6_Beta_1.4_err,pz4_act_dr6_Beta_1.6,pz4_act_dr6_Beta_1.6_err
0,1.0,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08,9.161744699183428e-08,4.3477446615911626e-08
1,1.625,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08,5.266236026238495e-08,6.34982105281326e-08
2,2.25,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07,3.482816714934591e-07,1.0351918059793375e-07
3,2.875,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07,1.1868170990412004e-06,1.4122880801750994e-07
4,3.5,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07,1.1957128711467235e-06,1.5745726179436986e-07
5,4.125,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07,1.7727356213057526e-06,2.0182699328456784e-07
6,4.75,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07,2.8128128124943956e-06,2.407773962098342e-07
7,5.375,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07,3.6288606379604637e-06,3.054244489908363e-07
8,6.0,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07,4.4231056723197264e-06,3.7624636899618164e-07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
