,RApArcmin,pz1_act_dr6_fiducial,pz1_act_dr6_fiducial_err,pz1_act_dr6_Beta_1.2,pz1_act_dr6_Beta_1.2_err,pz1_act_dr6_Beta_1.4,pz1_act_dr6_Beta_1.4_err,pz1_act_dr6_Beta_1.6,pz1_act_dr6_Beta_1.6_err,pz2_act_dr6_fiducial,pz2_act_dr6_fiducial_err,pz2_act_dr6_Beta_1.2,pz2_act_dr6_Beta_1.2_err,pz2_act_dr6_Beta_1.4,pz2_act_dr6_Beta_1.4_err,pz2_act_dr6_Beta_1.6,pz2_act_dr6_Beta_1.6_err,pz3_act_dr6_fiducial,pz3_act_dr6_fiducial_err,pz3_act_dr6_Beta_1.2,pz3_act_dr6_Beta_1.2_err,pz3_act_dr6_Beta_1.4,pz3_act_dr6_Beta_1.4_err,pz3_act_dr6_Beta_1.6,pz3_act_dr6_Beta_1.6_err,pz4_act_dr6_fiducial,pz4_act_dr6_fiducial_err,pz4_act_dr6_Beta_1.2,pz4_act_dr6_Beta_1.2_err,pz4_act_dr6_Beta_1.4,pz4_act_dr6_Beta_1.4_err,pz4_act_dr6_Beta_1.6,pz4_act_dr6_Beta_1.6_err
0,1.0,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08,5.3128481782610674e-08,2.6722760594326964e-08
1,1.5,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08,2.8421953871929373e-09,2.0863455521182353e-08
2,2.0,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08,-2.353284013643719e-08,4.126302598171541e-08
3,2.5,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08,1.0753807190686999e-07,2.9339351198515788e-08
4,3.0,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08,2.1578726704012733e-07,5.335808410704151e-08
5,3.5,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08,7.309364622819985e-08,4.582721291757109e-08
6,4.0,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08,-8.690389922421535e-08,6.000002023010521e-08
7,4.5,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08,2.8625872561908263e-08,5.136716072576102e-08
8,5.0,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08,2.574244761819537e-07,6.748044705477938e-08
9,5.5,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08,2.099003471075516e-07,6.209978754201548e-08
