,RApArcmin,pz1_act_dr6_fiducial,pz1_act_dr6_fiducial_err,pz1_act_dr6_Beta_1.2,pz1_act_dr6_Beta_1.2_err,pz1_act_dr6_Beta_1.4,pz1_act_dr6_Beta_1.4_err,pz1_act_dr6_Beta_1.6,pz1_act_dr6_Beta_1.6_err,pz2_act_dr6_fiducial,pz2_act_dr6_fiducial_err,pz2_act_dr6_Beta_1.2,pz2_act_dr6_Beta_1.2_err,pz2_act_dr6_Beta_1.4,pz2_act_dr6_Beta_1.4_err,pz2_act_dr6_Beta_1.6,pz2_act_dr6_Beta_1.6_err,pz3_act_dr6_fiducial,pz3_act_dr6_fiducial_err,pz3_act_dr6_Beta_1.2,pz3_act_dr6_Beta_1.2_err,pz3_act_dr6_Beta_1.4,pz3_act_dr6_Beta_1.4_err,pz3_act_dr6_Beta_1.6,pz3_act_dr6_Beta_1.6_err,pz4_act_dr6_fiducial,pz4_act_dr6_fiducial_err,pz4_act_dr6_Beta_1.2,pz4_act_dr6_Beta_1.2_err,pz4_act_dr6_Beta_1.4,pz4_act_dr6_Beta_1.4_err,pz4_act_dr6_Beta_1.6,pz4_act_dr6_Beta_1.6_err
0,1.0,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09,9.644627433009712e-08,8.833382825031071e-09
1,1.625,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08,3.637190018937959e-07,2.2132193038339015e-08
2,2.25,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08,6.317838424487886e-07,3.726806508137253e-08
3,2.875,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08,9.593339263300097e-07,5.8659343103908446e-08
4,3.5,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08,1.0345092865630582e-06,8.513861182828376e-08
5,4.125,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07,7.935768763208299e-07,1.1978470138896154e-07
6,4.75,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07,5.797331332279416e-07,1.5510294120410776e-07
7,5.375,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07,4.707690321895845e-07,1.9521531958582907e-07
8,6.0,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07,4.985345187383929e-07,2.317025354481953e-07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
