# zmin zmax all_combined bin_1_combined bin_2_combined bin_3_combined bin_4_combined all_north bin_1_north bin_2_north bin_3_north bin_4_north all_south bin_1_south bin_2_south bin_3_south bin_4_south
0.45 0.46 5.584 5.036 0.216 0.016 0.009 5.284 4.892 0.203 0.016 0.010 5.721 5.101 0.222 0.015 0.008
0.46 0.47 5.448 4.933 0.263 0.023 0.012 4.907 4.585 0.213 0.023 0.018 5.693 5.092 0.285 0.023 0.010
0.47 0.48 5.715 5.203 0.312 0.022 0.011 5.616 5.224 0.285 0.022 0.011 5.760 5.193 0.324 0.022 0.011
0.48 0.49 5.896 5.320 0.423 0.024 0.007 5.717 5.297 0.379 0.029 0.005 5.977 5.331 0.443 0.021 0.008
0.49 0.5 6.158 5.443 0.597 0.019 0.008 6.154 5.567 0.586 0.015 0.012 6.160 5.387 0.602 0.021 0.007
0.5 0.51 6.421 5.406 0.917 0.023 0.005 6.455 5.504 0.944 0.029 0.006 6.406 5.362 0.904 0.020 0.005
0.51 0.52 6.361 4.974 1.309 0.023 0.007 6.237 4.972 1.267 0.026 0.012 6.417 4.975 1.329 0.022 0.004
0.52 0.53 6.822 4.794 1.964 0.030 0.008 6.630 4.805 1.846 0.037 0.008 6.909 4.789 2.017 0.027 0.007
0.53 0.54 7.109 3.918 3.148 0.039 0.011 7.291 4.183 3.153 0.041 0.009 7.026 3.797 3.145 0.037 0.012
0.54 0.55 7.253 2.749 4.447 0.047 0.024 7.319 2.961 4.333 0.054 0.030 7.223 2.653 4.499 0.043 0.022
0.55 0.56 7.565 1.717 5.796 0.055 0.020 7.727 1.887 5.801 0.062 0.030 7.492 1.640 5.794 0.052 0.015
0.56 0.57 7.895 1.079 6.778 0.065 0.012 7.928 1.184 6.709 0.080 0.011 7.880 1.031 6.809 0.058 0.013
0.57 0.58 7.872 0.674 7.127 0.091 0.025 8.178 0.746 7.330 0.124 0.032 7.732 0.641 7.035 0.076 0.022
0.58 0.59 7.939 0.414 7.433 0.120 0.022 8.218 0.460 7.641 0.141 0.028 7.812 0.393 7.338 0.110 0.019
0.59 0.6 8.173 0.282 7.771 0.150 0.018 8.264 0.310 7.796 0.173 0.024 8.132 0.269 7.760 0.140 0.016
0.6 0.61 8.530 0.175 8.182 0.205 0.024 8.970 0.181 8.578 0.231 0.031 8.330 0.173 8.002 0.192 0.021
0.61 0.62 8.720 0.138 8.339 0.277 0.027 8.877 0.149 8.427 0.315 0.038 8.648 0.134 8.299 0.260 0.022
0.62 0.63 8.582 0.102 8.116 0.399 0.025 8.299 0.106 7.775 0.430 0.033 8.711 0.100 8.270 0.385 0.021
0.63 0.64 8.681 0.067 8.105 0.539 0.029 8.556 0.063 7.867 0.635 0.038 8.737 0.069 8.213 0.495 0.025
0.64 0.65 8.802 0.064 8.066 0.695 0.036 8.729 0.065 7.869 0.788 0.054 8.835 0.063 8.156 0.653 0.028
0.65 0.66 9.052 0.050 8.057 0.965 0.042 9.186 0.051 8.024 1.101 0.062 8.991 0.050 8.073 0.904 0.033
0.66 0.67 9.158 0.039 7.905 1.236 0.046 9.382 0.036 7.940 1.407 0.067 9.056 0.040 7.889 1.158 0.037
0.67 0.68 9.086 0.034 7.461 1.595 0.058 9.045 0.031 7.201 1.778 0.091 9.104 0.036 7.579 1.512 0.043
0.68 0.69 9.325 0.020 6.995 2.301 0.070 9.037 0.020 6.548 2.406 0.107 9.456 0.020 7.199 2.253 0.053
0.69 0.7 9.506 0.015 6.179 3.271 0.101 9.436 0.015 5.991 3.296 0.173 9.537 0.015 6.264 3.259 0.068
0.7 0.71 9.536 0.011 5.103 4.349 0.120 10.018 0.011 5.369 4.480 0.198 9.317 0.011 4.982 4.289 0.085
0.71 0.72 9.553 0.009 4.073 5.354 0.166 10.123 0.008 4.504 5.383 0.270 9.295 0.010 3.877 5.341 0.119
0.72 0.73 9.776 0.007 3.186 6.395 0.231 10.236 0.009 3.512 6.406 0.349 9.567 0.006 3.039 6.391 0.178
0.73 0.74 10.036 0.005 2.475 7.313 0.282 10.430 0.006 2.764 7.262 0.429 9.857 0.004 2.344 7.337 0.215
0.74 0.75 10.455 0.009 1.857 8.254 0.369 10.635 0.011 2.074 8.012 0.557 10.373 0.008 1.758 8.365 0.283
0.75 0.76 10.670 0.007 1.242 8.931 0.520 10.823 0.011 1.388 8.694 0.748 10.600 0.005 1.175 9.038 0.417
0.76 0.77 10.973 0.004 0.767 9.460 0.768 11.405 0.002 0.944 9.423 1.060 10.776 0.004 0.686 9.478 0.635
0.77 0.78 11.408 0.004 0.450 9.779 1.207 11.609 0.007 0.564 9.516 1.551 11.317 0.002 0.398 9.898 1.051
0.78 0.79 11.653 0.003 0.260 9.724 1.677 12.052 0.005 0.415 9.774 1.867 11.472 0.003 0.190 9.700 1.591
0.79 0.8 12.265 0.002 0.159 9.680 2.421 12.255 0.002 0.257 9.518 2.466 12.270 0.002 0.115 9.754 2.401
0.8 0.81 12.431 0.003 0.127 9.347 2.935 12.849 0.003 0.200 9.649 2.977 12.241 0.003 0.093 9.209 2.916
0.81 0.82 12.133 0.006 0.094 8.586 3.420 12.813 0.010 0.148 9.016 3.605 11.824 0.003 0.070 8.391 3.336
0.82 0.83 11.809 0.004 0.068 7.888 3.798 11.927 0.009 0.095 7.928 3.821 11.756 0.002 0.055 7.869 3.787
0.83 0.84 11.664 0.003 0.061 7.085 4.455 11.312 0.008 0.091 6.914 4.220 11.824 0.001 0.048 7.163 4.561
0.84 0.85 11.488 0.002 0.053 6.290 5.072 11.294 0.003 0.084 6.253 4.895 11.577 0.002 0.039 6.306 5.153
0.85 0.86 11.123 0.003 0.040 5.456 5.525 10.595 0.003 0.053 5.231 5.191 11.363 0.002 0.035 5.558 5.677
0.86 0.87 10.822 0.001 0.036 4.853 5.834 10.865 0.002 0.054 4.868 5.851 10.802 0.001 0.028 4.845 5.826
0.87 0.88 10.627 0.002 0.031 4.207 6.262 10.610 0.002 0.041 4.170 6.241 10.635 0.002 0.026 4.223 6.271
0.88 0.89 10.409 0.002 0.029 3.594 6.636 10.476 0.000 0.039 3.641 6.630 10.379 0.002 0.024 3.572 6.639
0.89 0.9 9.847 0.001 0.022 2.834 6.836 10.202 0.000 0.029 2.993 6.986 9.686 0.002 0.019 2.762 6.767
0.9 0.91 9.598 0.003 0.026 2.241 7.137 9.446 0.006 0.022 2.172 7.048 9.667 0.001 0.027 2.272 7.177
0.91 0.92 8.969 0.001 0.019 1.746 6.983 8.947 0.001 0.020 1.767 6.926 8.978 0.001 0.018 1.737 7.009
0.92 0.93 8.475 0.001 0.017 1.308 6.868 8.418 0.002 0.019 1.394 6.728 8.501 0.001 0.017 1.269 6.932
0.93 0.94 8.239 0.002 0.017 0.995 6.870 8.141 0.002 0.017 1.060 6.673 8.284 0.002 0.016 0.965 6.960
0.94 0.95 7.842 0.000 0.014 0.814 6.635 7.945 0.000 0.020 0.885 6.689 7.795 0.001 0.012 0.781 6.610
0.95 0.96 7.397 0.000 0.013 0.631 6.322 7.329 0.000 0.015 0.713 6.190 7.428 0.001 0.012 0.593 6.382
0.96 0.97 6.804 0.001 0.014 0.509 5.812 6.925 0.002 0.019 0.598 5.837 6.748 0.001 0.012 0.469 5.801
0.97 0.98 6.185 0.002 0.014 0.380 5.268 6.357 0.002 0.015 0.417 5.427 6.107 0.002 0.013 0.363 5.195
0.98 0.99 5.611 0.001 0.016 0.312 4.729 5.797 0.003 0.017 0.367 4.874 5.527 0.001 0.015 0.287 4.663
0.99 1.0 5.132 0.001 0.012 0.247 4.262 5.069 0.000 0.015 0.247 4.247 5.161 0.001 0.010 0.247 4.270
1.0 1.01 4.687 0.002 0.008 0.204 3.821 4.631 0.003 0.006 0.204 3.760 4.712 0.002 0.010 0.204 3.848
1.01 1.02 4.452 0.001 0.012 0.173 3.544 4.267 0.002 0.017 0.185 3.392 4.536 0.001 0.010 0.167 3.612
1.02 1.03 4.037 0.001 0.014 0.121 3.117 4.207 0.002 0.020 0.118 3.284 3.960 0.001 0.011 0.123 3.042
1.03 1.04 3.590 0.000 0.007 0.101 2.644 3.652 0.000 0.005 0.105 2.668 3.562 0.000 0.008 0.099 2.633
1.04 1.05 3.367 0.002 0.009 0.079 2.388 3.348 0.000 0.009 0.078 2.414 3.376 0.003 0.008 0.079 2.375
1.05 1.06 3.077 0.000 0.010 0.065 2.050 3.095 0.000 0.014 0.058 2.068 3.070 0.001 0.009 0.069 2.042
1.06 1.07 2.747 0.001 0.011 0.056 1.723 2.869 0.002 0.012 0.061 1.768 2.692 0.001 0.011 0.054 1.703
1.07 1.08 2.473 0.001 0.010 0.047 1.486 2.514 0.000 0.010 0.050 1.447 2.454 0.001 0.010 0.046 1.504
1.08 1.09 2.257 0.002 0.009 0.038 1.243 2.364 0.005 0.013 0.038 1.229 2.208 0.000 0.007 0.038 1.249
1.09 1.1 2.044 0.001 0.008 0.031 1.070 2.112 0.000 0.008 0.030 1.086 2.013 0.001 0.008 0.032 1.062
1.1 1.11 1.806 0.001 0.006 0.028 0.862 1.925 0.002 0.008 0.036 0.895 1.752 0.001 0.005 0.024 0.847
1.11 1.12 1.688 0.002 0.007 0.025 0.731 1.698 0.000 0.009 0.028 0.695 1.684 0.002 0.006 0.024 0.747
1.12 1.13 1.473 0.000 0.006 0.017 0.580 1.455 0.000 0.005 0.020 0.606 1.481 0.000 0.006 0.016 0.569
1.13 1.14 1.316 0.000 0.005 0.017 0.490 1.354 0.000 0.002 0.023 0.495 1.299 0.001 0.007 0.014 0.488
1.14 1.15 1.222 0.001 0.006 0.017 0.415 1.288 0.000 0.008 0.018 0.426 1.193 0.001 0.005 0.017 0.409
1.15 1.16 1.046 0.000 0.005 0.012 0.330 1.065 0.000 0.005 0.005 0.331 1.038 0.000 0.005 0.016 0.330
1.16 1.17 0.956 0.000 0.005 0.013 0.275 1.027 0.000 0.005 0.010 0.261 0.923 0.000 0.005 0.014 0.281
1.17 1.18 0.828 0.001 0.003 0.010 0.215 0.878 0.000 0.003 0.011 0.235 0.805 0.001 0.003 0.010 0.206
1.18 1.19 0.730 0.001 0.002 0.010 0.173 0.755 0.000 0.000 0.014 0.212 0.718 0.001 0.004 0.008 0.156
1.19 1.2 0.633 0.000 0.003 0.013 0.135 0.669 0.000 0.005 0.019 0.165 0.617 0.000 0.002 0.010 0.122
1.2 1.21 0.571 0.001 0.002 0.005 0.126 0.619 0.002 0.002 0.002 0.153 0.549 0.001 0.003 0.007 0.113
1.21 1.22 0.456 0.000 0.003 0.011 0.089 0.447 0.000 0.005 0.011 0.098 0.460 0.001 0.002 0.010 0.086
1.22 1.23 0.417 0.001 0.004 0.005 0.080 0.423 0.000 0.003 0.003 0.090 0.414 0.001 0.005 0.006 0.076
1.23 1.24 0.365 0.000 0.002 0.004 0.065 0.376 0.000 0.000 0.001 0.075 0.360 0.001 0.002 0.005 0.060
1.24 1.25 0.319 0.000 0.002 0.005 0.054 0.334 0.000 0.003 0.009 0.065 0.312 0.000 0.001 0.003 0.049
1.25 1.26 0.285 0.001 0.002 0.004 0.050 0.274 0.000 0.003 0.003 0.056 0.289 0.001 0.001 0.004 0.047
1.26 1.27 0.255 0.001 0.001 0.005 0.036 0.274 0.000 0.000 0.007 0.050 0.246 0.001 0.002 0.005 0.030
1.27 1.28 0.223 0.000 0.004 0.003 0.029 0.242 0.000 0.005 0.003 0.033 0.215 0.001 0.003 0.003 0.027
1.28 1.29 0.200 0.000 0.002 0.003 0.028 0.210 0.000 0.002 0.002 0.041 0.196 0.000 0.002 0.004 0.022
