,aper1,aper2,aper3,aper4,aper5,aper6,aper7,aper8,aper9,aper10,aper11,aper12,aper13
L35,0.43714632,0.56295261,0.70919265,0.82092898,0.88790661,0.9252629,0.94708052,0.960805,0.97005201,0.97654041,0.98125231,0.98475271,0.98740074
L47,0.41831734,0.54613091,0.70542152,0.82648331,0.8957491,0.9321404,0.95245528,0.96471303,0.97285335,0.97840772,0.98239387,0.98530661,0.98748905
L59,0.42700047,0.55028618,0.70491908,0.82355727,0.89262622,0.92967249,0.95067386,0.96361878,0.97221531,0.97815846,0.98240959,0.9855053,0.98781809
L79,0.43393616,0.56148355,0.70907421,0.82312848,0.89062024,0.92767454,0.94881397,0.96216492,0.97104485,0.97728096,0.98173326,0.98500818,0.987457
L98,0.4336209,0.5563211,0.70586462,0.82256896,0.89135198,0.92860792,0.94963232,0.96273556,0.97151062,0.97765476,0.98205959,0.98529064,0.98768557
L36D,0.43992922,0.57523471,0.72402613,0.82993209,0.89523328,0.92994433,0.95036462,0.96306268,0.97136943,0.97721413,0.98133713,0.98444971,0.98679301
L47D,0.44480036,0.57293912,0.71751835,0.82731696,0.89316663,0.92869473,0.94953883,0.96245704,0.97101616,0.97702753,0.98131832,0.98449858,0.98687869
L59D,0.41656245,0.54567421,0.70130415,0.82140148,0.8918261,0.92947455,0.95070111,0.96374135,0.97246368,0.97849491,0.9828241,0.98598733,0.9883321
L78D,0.46177578,0.57278152,0.71663239,0.82623542,0.89092789,0.92696624,0.94798825,0.96130023,0.97022574,0.97648754,0.98100553,0.98433353,0.98684812
M10.0,,,,,,,,,,,,,
M10.25,,,,,,,,,,,,,
M10.5,,,,,,,,,,,,,
M10.75,,,,,,,,,,,,,
M11,0.61135345,0.71385828,0.79810028,0.86121359,0.90169633,0.92805731,0.94557205,0.9573143,0.96569383,0.97190613,0.97657364,0.98023652,0.98316783
M11.25,0.69443003,0.71328088,0.80030229,0.86209813,0.9034689,0.92916746,0.94625725,0.95796268,0.96612996,0.97216714,0.97684049,0.98044758,0.98332851
all,0.53930165,0.6694263,0.78563472,0.86402146,0.91051459,0.93787095,0.95469961,0.96563159,0.97310762,0.9784238,0.98233444,0.98528688,0.98757416
L10,0.67486689,0.70281268,0.81003627,0.89261863,0.91823449,0.94031133,0.95597355,0.9663434,0.97359491,0.97900636,0.98260635,0.98504809,0.98734892
L20,,,,,,,,,,,,,
