Sample,Blue,Green,Red
sigmalogM,0.687,0.973,0.403
alphas,1.304,1.302,1.629
logMHODmin,11.796,13.128,12.707
logMHOD1,12.701,13.441,13.519
labda,1.087,2.746,0.184
107ASN,-0.255,1.379,28.748
MHODmin,6.25E+11,1.34E+11,5.10E+12
M1,5.03E+12,2.76E+13,3.30E+13
M,1.88E+13,1.66E+13,1.55E+13
bg,1.49,2.01,2.98
alphasat,0.3,0.16,0.14
chi2,11.8,7.9,15.3
PTE,0.544,0.85,0.289
