sample,Blue,Green,Red
sigma_logM,0.73,0.61,0.75
alpha_s,1.38,1.23,1.18
logM_min_HOD,12.11,12.39,13.23
logM_1,13.00,12.87,13.20
Lambda,1.11,2.50,1.30
